product_task_assessment_id,product_id,product_ai_release_id,occupation_soc_code,canonical_task_set_version,canonical_task_id,task_scope_version,jurisdiction_code,product_date_assessed,product_configuration_assessed,product_task_mapping_basis,product_task_coverage,supported_case_scope,product_task_relationship,primary_user_role,acquire_product_autonomy_rating,interpret_product_autonomy_rating,decide_product_autonomy_rating,act_product_autonomy_rating,product_rating_rationale,protocol_version,product_assessment_status
pta_caseware_aida_acc02,prod_caseware_aida,rel_caseware_aida_20240528,13-2011.00,pilot-1.0,ACC-02,scope-pilot-1.0,US,2026-08-19,"Caseware Cloud Audit workflow with current AiDA Enhanced mode, linked document summaries, Analytical Review Assistant and contextual guidance, as of 2026-08-19",vendor_explicit_task,bounded_substantive,"Documents and analytics already present in a Caseware Cloud audit engagement, assessed for source-linked summaries, extracted terms, analytical explanations, contextual methodology guidance, and first-pass narratives; excludes final professional judgment, completed workpaper conclusions, and report issuance.",occupation_worker_tool,Auditor or assurance professional,2,2,1,2,"AiDA extracts and summarizes supplied engagement documents with source links, explains analytics and anomalies, answers technical questions, and drafts first-pass narratives. Acquire and Interpret are 2 because staff choose/upload the evidence and must confirm source points and apply professional judgment before conclusions. Decide is 1 because risk and methodology suggestions are for consideration and the product explicitly frees people for judgment calls. Act is 2 because AiDA prepares narrative text, but the user verifies it and manually copies/pastes it into the engagement file before completing the workpaper and report.",0.1,calibration_draft
pta_datasnipper_documine_acc02,prod_datasnipper_documine,rel_datasnipper_documine_20250331,13-2011.00,pilot-1.0,ACC-02,scope-pilot-1.0,US,2026-08-19,"DataSnipper DocuMine in Excel with current multi-document question answering, Question Bank and Snips approval workflow, as of 2026-08-19",vendor_explicit_task,bounded_substantive,"A question-driven review of multiple audit documents supplied to DocuMine in Excel, producing source-linked answers and approved Snips for the defined procedure; excludes overall engagement scope, significance judgments, assurance conclusions, and final reporting.",occupation_worker_tool,Auditor or assurance professional,3,3,1,2,"For a bounded complex-document review procedure, DocuMine searches multiple supplied documents, returns precise source-linked answers and performs qualitative analysis. Acquire and Interpret are 3 because the product produces complete evidence retrieval/answer outputs for the supported question, but the designed workflow is explicitly ask-review-approve and requires professional validation of every suggested answer. Decide is 1 because auditors make the call and form the audit conclusion. Act is 2 because approved Snips create traceable Excel evidence, but the team completes procedures, workpapers and reporting.",0.1,calibration_draft
pta_vena_copilot_fpa_acc03,prod_vena_copilot_fpa,rel_vena_copilot_fpa_20240403,13-2011.00,pilot-1.0,ACC-03,scope-pilot-1.0,US,2026-08-19,"Vena Copilot Spring 2026 configuration with generally available Planning Agent in Excel, Reporting Agent and Analytics Agent over the connected Vena model, as of 2026-08-19",vendor_explicit_task,broad_task,"A user-prompted report, variance analysis, or driver-based budget, forecast, or scenario using data and drivers already governed in the connected Vena model; excludes unconnected operating facts, autonomous selection of organizational objectives, final budget approval, and implementation of business actions.",occupation_worker_tool,FP&A professional,4,4,2,4,"Supported case: a user-prompted report, variance analysis, or driver-based budget/forecast using data already governed in the connected Vena model. The agents retrieve model data, explain trends/variances, and directly create the report or dynamic plan in Excel with no documented per-output approval gate; optional inspection and editing occur after output. Decide is 2 because users provide objectives and planning assumptions and retain the business choice. These 4s do not cover acquisition of unconnected operating facts or autonomous approval of the organizational budget.",0.1,calibration_draft
pta_sage_intacct_acc03,prod_sage_intacct,rel_sage_intacct_20241203,13-2011.00,pilot-1.0,ACC-03,scope-pilot-1.0,US,2026-08-19,"Sage Intacct (U.S.) with generally available Sage Copilot Variance Analysis and configured proactive variance notifications, as of 2026-08-19",vendor_explicit_task,bounded_substantive,"Continuous budget-versus-actual monitoring over connected Sage Intacct data with configured dimensions and recipients, including driver explanations and proactive variance notifications; excludes setting the underlying budget and selecting, approving, or implementing the corrective business response.",mixed,Finance professional or business manager,4,4,2,4,"Supported case: continuous budget-versus-actual variance monitoring over connected Sage Intacct data with configured recipients. Sage Copilot monitors the ledger, identifies discrepancies and trends, explains variance drivers, and proactively distributes graphs and plain-language notifications without per-instance approval. Decide is 2 because the product flags matters and suggests next steps while budget owners and finance leaders choose the response. The 4s do not establish autonomous selection of budgets, forecasts, or corrective business actions.",0.1,calibration_draft
pta_tr_onesource_indirect_tax_acc04,prod_tr_onesource_indirect_tax,rel_tr_onesource_indirect_tax_20241031,13-2011.00,pilot-1.0,ACC-04,scope-pilot-1.0,US,2026-08-19,"ONESOURCE Sales & Use Tax powered by CoCounsel (U.S.) with connected source systems, touchless compliance through signature-ready returns, and required final human review/signoff, as of 2026-08-19",vendor_explicit_task,bounded_substantive,"Recurring U.S. sales-and-use-tax return preparation from configured upstream systems through validation, reconciliation, exception handling, signature-ready return generation, and filing after required final review and signoff; excludes other tax types, unsupported jurisdictions, and cases outside the configured rules and feeds.",occupation_worker_tool,Tax professional,4,3,3,3,"Supported case: recurring U.S. sales-and-use-tax return preparation from configured upstream systems. The product moves source data into returns without routine intervention until final review, supporting Acquire=4. It validates and reconciles data, classifies exceptions, proposes fixes, computes return content and prepares signature-ready returns, but human-in-the-loop controls require users to review, accept or override changes and sign off before filing. Therefore Interpret, Decide and Act are 3, not 4. This is indirect-tax compliance, not all individual or corporate tax work.",0.1,calibration_draft
pta_avalara_tax_research_acc04,prod_avalara_tax_research,rel_avalara_tax_research_20250709,13-2011.00,pilot-1.0,ACC-04,scope-pilot-1.0,US,2026-08-19,"Avalara Tax Research with Avi for Tax Research in the Avalara Portal, using current U.S. state and local sales/use-tax content and cited answers, as of 2026-08-19",vendor_explicit_task,narrow_fragment,"A well-specified U.S. state or local sales-and-use-tax question within Avalara's covered content, such as taxability, rate, exemption, or classification, for which the user supplies the relevant transaction and taxpayer facts; excludes return preparation, payment, filing, and unsupported tax domains.",occupation_worker_tool,Tax professional,2,4,4,1,"Supported case: a well-specified U.S. sales/use-tax taxability, rate, exemption, or classification question within Avalara's covered content. Acquire is 2 because Avi obtains current legal/rate content but the user must supply the taxpayer and transaction facts. Interpret and Decide are 4 for the bounded research endpoint because Avi immediately returns a plain-language, cited, often yes/no taxability answer through a self-service workflow with no pre-answer reviewer gate. Act is 1 because the product can export/share research support but is standalone and does not prepare or file the return or execute the tax position.",0.1,calibration_draft
pta_radai_omni_reporting_rad01,prod_radai_omni_reporting,rel_radai_omni_reporting_20230822,29-1224.00,pilot-1.0,RAD-01,scope-pilot-1.0,US,2026-08-19,"Rad AI Omni Reporting / current Rad AI Reporting workflow: radiologist-dictated findings and clinical indication, personalized templates, guideline insertion, complete report generation, radiologist review and signature",vendor_explicit_task,bounded_substantive,Modality: diagnostic imaging reports handled through the connected PACS/RIS/EHR workflow; the cited documentation does not limit the feature to a named modality. Population: patients whose examinations are interpreted and dictated by a radiologist; no age or disease restriction is stated in the cited workflow. Jurisdiction: United States. Bounded configuration/case: current Rad AI Reporting after a radiologist has supplied the clinical indication and dictated the substantive image findings; the ratings do not cover independent image interpretation or undictated cases.,occupation_worker_tool,Radiologist,0,2,2,3,"The documented workflow begins after the radiologist has obtained the case context and interpreted the images: the radiologist dictates findings and the product builds a comprehensive report in the radiologist's style. That is no meaningful Acquire contribution to the frozen RAD-01 input-gathering stage. Generating an impression, catching report inconsistencies, and inserting guideline recommendations are substantial Interpret and Decide contributions, but the radiologist supplies the image findings and retains final clinical judgment. The product prepares a complete report, while routine review and signature remain explicit, supporting Act 3 rather than 4.",0.1,calibration_draft
pta_gehc_sonic_dl_rad01,prod_gehc_sonic_dl,rel_gehc_sonic_dl_20230605,29-1224.00,pilot-1.0,RAD-01,scope-pilot-1.0,US,2026-08-19,"Sonic DL current U.S. configuration under K243667: Sonic DL Cine plus Sonic DL 3D on compatible GE HealthCare 1.5T, 3.0T, and 7.0T MR systems",vendor_explicit_task,narrow_fragment,"Modality: MRI, specifically accelerated 2D cardiac cine and 3D Cartesian acquisitions across anatomies on compatible GE HealthCare 1.5T, 3.0T, and 7.0T MR systems. Population: patients eligible for those supported MR examinations; the cited clearance does not establish a narrower age or diagnosis group. Jurisdiction: United States. Bounded configuration/case: the current K243667 Sonic DL Cine plus Sonic DL 3D reconstruction configuration; ratings cover accelerated acquisition/reconstruction only, not patient setup, protocol selection, diagnostic interpretation, or reporting.",embedded_service,MRI technologist and radiologist,2,0,0,2,"Sonic DL materially performs the accelerated MR data-acquisition/reconstruction component and produces diagnostic-quality images, but clinical staff still obtain the clinical context, prepare and position the patient, select the examination and protocol, and complete the broader examination. Its cleared function is image reconstruction, not image interpretation, diagnosis, follow-up selection, or reporting. It therefore receives 2 for the substantial acquisition and examination-execution components, and 0 for Interpret and Decide.",0.1,calibration_draft
pta_rapidai_ncct_stroke_rad01,prod_rapidai_ncct_stroke,rel_rapidai_ncct_stroke_20231127,29-1224.00,pilot-1.0,RAD-01,scope-pilot-1.0,US,2026-08-19,Rapid NCCT Stroke integrated Rapid Platform configuration under K222884 for adult noncontrast head CT ICH and ICA/MCA-M1 LVO triage,vendor_explicit_task,bounded_substantive,"Modality: completed adult noncontrast head CT. Population: adults evaluated for suspected intracranial hemorrhage or internal-carotid/middle-cerebral-artery M1 large-vessel occlusion within the cleared indication. Jurisdiction: United States. Bounded configuration/case: Rapid NCCT Stroke under K222884 operating as an automated suspected-positive triage and priority-notification layer after image acquisition; ratings do not cover primary diagnosis, exclusion of disease, treatment selection, or final reporting.",employer_deployed_automation,Radiologist and acute-stroke care team,1,1,1,2,"The platform automatically receives the completed NCCT study, de-identifies it when needed, analyzes it, and sends a suspected-positive priority notification, which is a limited Acquire contribution and a bounded automated action. Its output is explicitly informational triage only, is not a primary diagnosis, cannot rule out LVO, and runs in parallel with standard-of-care full-image review. It therefore supplies narrow Interpret and Decide cues rather than a complete clinical interpretation or decision. Automatic notification is a meaningful bounded Act contribution, but it does not finalize or communicate the diagnostic report.",0.1,calibration_draft
pta_qureai_qct_ln_quant_rad01,prod_qureai_qct_ln_quant,rel_qureai_qct_ln_quant_20240822,29-1224.00,pilot-1.0,RAD-01,scope-pilot-1.0,US,2026-08-19,"qCT LN Quant K240740 cloud/PACS or web configuration for user-detected solid pulmonary nodules at least 6 mm, including semiautomatic segmentation, quantitative tracking, risk calculators, and guideline outputs",vendor_explicit_task,bounded_substantive,"Modality: chest CT submitted through the supported cloud/PACS or web workflow. Population: patients with a user-detected solid pulmonary nodule at least 6 mm for which the cleared quantitative and longitudinal tools apply; no additional age restriction is asserted here beyond the cited label. Jurisdiction: United States. Bounded configuration/case: qCT LN Quant under K240740 after a user selects the nodule and supplies required variables, including semiautomatic segmentation, measurement and tracking, risk calculations, and guideline outputs; ratings do not cover independent nodule detection, diagnosis, or final management.",occupation_worker_tool,Radiologist,1,2,2,2,"qCT automatically receives selected CT data and can compare studies, but the user identifies the nodule, places seed points, supplies clinical variables, and verifies/corrects segmentation. It performs substantial quantitative characterization, longitudinal tracking, risk calculation, and guideline-based recommendation support, while its FDA label explicitly says it is not for diagnosis and cannot replace physician evaluation. It returns overlays and reporting outputs to the workflow, but a clinician must complete and release the diagnostic report and any treatment/transfer action.",0.1,calibration_draft
pta_gleamer_boneage_rad01,prod_gleamer_boneage,rel_gleamer_boneage_2023,29-1224.00,pilot-1.0,RAD-01,scope-pilot-1.0,EU,2026-08-19,"Gleamer BoneAge for frontal hand radiographs in patients aged 3-18, with automated Greulich & Pyle bone-age assessment, predicted adult height, native-image results, and radiologist review/accept/reject workflow",vendor_explicit_task,narrow_fragment,"Modality: frontal hand radiograph. Population: patients aged 3 through 18 within the documented BoneAge workflow. Jurisdiction: European Union for this assessment row; U.S. availability is not inferred from the cited localized product page. Bounded configuration/case: Gleamer BoneAge automated Greulich-and-Pyle bone-age assessment and predicted-adult-height output from an already acquired image, followed by radiologist review, acceptance, or rejection; ratings do not cover image acquisition or a complete diagnostic report.",occupation_worker_tool,Radiologist,0,3,1,1,"The documented configuration begins with an already acquired frontal hand X-ray and does not acquire the patient history or examination. For its supported pediatric bone-age cases, it produces the complete bone-age assessment and adult-height estimate, but the radiologist routinely reviews, accepts, or rejects the result, supporting Interpret 3. It does not choose the broader final assessment, follow-up, additional examination, or urgency; it provides limited decision cues and a displayed result rather than the final report and communication.",0.1,calibration_draft
pta_gleamer_bonemetrics_rad01,prod_gleamer_bonemetrics,rel_gleamer_bonemetrics_2023,29-1224.00,pilot-1.0,RAD-01,scope-pilot-1.0,EU,2026-08-19,"Gleamer BoneMetrics for AP, PA, and lateral X-ray/EOS examinations in patients older than 15, with more than 50 automated MSK measurements, reference values, native-image overlays, and radiologist review/accept/reject workflow",vendor_explicit_task,bounded_substantive,"Modality: supported AP, PA, and lateral X-ray or EOS musculoskeletal examinations. Population: patients older than 15 within the documented BoneMetrics workflow. Jurisdiction: European Union. Bounded configuration/case: current BoneMetrics automation of its catalog of more than 50 measurements, reference-value comparison, and native-image overlays on an already acquired supported examination with radiologist review/acceptance/rejection; ratings do not extend to unsupported anatomy, image acquisition, complete diagnosis, or final reporting.",occupation_worker_tool,Radiologist,0,2,1,1,"BoneMetrics begins with an acquired X-ray and does not obtain the broader RAD-01 input set. It automates more than 50 musculoskeletal measurements and supplies condition-relevant findings and thresholds, which is substantial but still a partial interpretation rather than a complete image-based diagnosis. Reference values and abnormality cues assist decisions, while the clinician retains the diagnosis and management choice. Results appear as overlays/secondary outputs for review, not as a finalized and communicated radiology report.",0.1,calibration_draft
pta_nuance_powerscribe_smart_impression_rad01,prod_nuance_powerscribe_smart_impression,rel_nuance_powerscribe_smart_impression_20231128,29-1224.00,pilot-1.0,RAD-01,scope-pilot-1.0,US,2026-08-19,"PowerScribe One Smart Impression with Automatic Smart Impression enabled: generative-AI draft of the Impression section from report dictation/clinical content, with recommendations and mandatory user review",vendor_explicit_task,bounded_substantive,"Modality: not image-modality-specific because Smart Impression operates on radiologist-created report text rather than pixels. Population: patients represented in reports processed by a supported PowerScribe One installation; no age or disease restriction is stated in the cited support documentation. Jurisdiction: United States. Bounded configuration/case: Automatic Smart Impression enabled, drafting the Impression section from clinical content already dictated or entered by the radiologist, with mandatory user review/editing; ratings do not cover acquiring case inputs, interpreting images, or autonomously finalizing the full report.",occupation_worker_tool,Radiologist,0,2,2,2,"Smart Impression operates on report content already created by the radiologist and therefore does not acquire RAD-01 case inputs. It provides substantial synthesis by drafting the impression and recommendations, but it does not analyze pixels and the radiologist supplies the body findings and final clinical judgment. Because it drafts only the Impression section—not the complete report or released communication—and Microsoft explicitly instructs the user to review and edit it, Act is 2 rather than 3.",0.1,calibration_draft
pta_philips_smartspeed_precise_rad01,prod_philips_smartspeed_precise,rel_philips_smartspeed_precise_20250226,29-1224.00,pilot-1.0,RAD-01,scope-pilot-1.0,US,2026-08-19,"SmartSpeed Precise in Philips MR software R12.3 on supported U.S. 1.5T/3.0T systems, with optional Dual-AI reconstruction, operator selection, and adjustable noise reduction",vendor_explicit_task,bounded_substantive,"Modality: MRI on supported Philips 1.5T and 3.0T systems using the cleared SmartSpeed Precise option. Population: patients eligible for supported MR examinations; the cited clearance does not establish a narrower age or diagnostic population. Jurisdiction: United States. Bounded configuration/case: Philips MR software R12.3 with optional Dual-AI reconstruction and operator-selected noise reduction; ratings cover accelerated acquisition/image reconstruction only, not patient preparation, diagnostic interpretation, clinical decisions, or final reporting.",embedded_service,MRI technologist and radiologist,2,0,0,2,"SmartSpeed Precise materially accelerates MR scanning and reconstructs sharper images, but staff select the option and noise-reduction level, prepare and position the patient, and obtain the other clinical inputs. FDA documentation explicitly assigns interpretation to trained physicians and describes no diagnostic or management decision function. The software therefore receives 2 for the substantial image-acquisition/reconstruction and examination-execution portions, but 0 for Interpret and Decide.",0.1,calibration_draft
pta_gehc_clarify_dl_rad03,prod_gehc_clarify_dl,rel_gehc_clarify_dl_20241205,29-1224.00,pilot-1.0,RAD-03,scope-pilot-1.0,US,2026-08-19,"Clarify DL bone-SPECT deep-learning image reconstruction on Xeleris V / compatible GE nuclear-medicine systems; existing EU assessment, with a separately supportable U.S. configuration after K241350 and May 2025 availability",vendor_explicit_task,narrow_fragment,"Modality: bone SPECT acquired on compatible GE HealthCare nuclear-medicine systems and reconstructed through Xeleris V within the K241350 configuration. Population: patients undergoing a supported bone-SPECT examination; the cited clearance does not establish a narrower age or disease subgroup. Jurisdiction: United States, based on FDA clearance and current U.S. availability evidence; the earlier qualifying release remains EU provenance rather than the jurisdiction of this assessment. Bounded configuration/case: current Clarify DL deep-learning reconstruction and noise reduction of already acquired bone-SPECT data; ratings do not cover patient/history acquisition, appropriateness assessment, diagnosis, radionuclide or dose selection, administration, or final reporting.",embedded_service,Nuclear-medicine technologist and interpreting physician,0,1,0,1,"Clarify DL operates on already acquired bone-SPECT data and is expressly limited to noise reduction and image-quality improvement. It does not obtain the RAD-03 history, radionuclide options, tests, instrument checks, or patient status; it does not assess appropriateness or make a diagnosis; and it does not select a radionuclide, dosage, or treatment plan. Its clearer reconstruction is a limited Interpret contribution and a narrow technical-execution Act contribution. The existing EU row is supportable; current official evidence also supports adding a parallel U.S. row rather than silently converting the jurisdiction.",0.1,calibration_draft
