source_task_key,task_id,occupation_soc_code,occupation_name,occupational_task,source_table,task_type_raw,emerging_category_raw,rating_status,provisional_source,task_update_month,domain_source,importance_mean_1_5,relevance_pct,frequency_mean_category_1_7,rating_recommend_suppress,detailed_work_activities,home_canonical_task_id,canonical_task_name,responsibility_role,population_scope,home_mapping_relation,detailed_mapping_relation,mapping_rationale,secondary_candidate_canonical_task_ids,review_flag,review_decision,reviewer_notes,source_url,onet_release,canonical_inclusion_status,exclusion_reason
21524,21524,13-2011.00,Accountants and Auditors,"Audit payroll and personnel records to determine unemployment insurance premiums, workers' compensation coverage, liabilities, and compliance with tax laws.",Task Statements,Core,,rated,FALSE,11/2020,Analyst - Transition,3.47,75.00,2.134,N,Examine financial records.,ACC-02,Conduct and report audit or assurance engagements,primary_output,broad,enabling,setting_or_subspecialty_variant,The explicit audit of payroll and personnel records produces an assurance and compliance determination; tax and insurance subject matter do not change that responsibility.,ACC-04,TRUE,Accept,,https://www.onetonline.org/link/details/13-2011.00,30.3,included,
21525,21525,13-2011.00,Accountants and Auditors,"Review taxpayer accounts, and conduct audits on-site, by correspondence, or by summoning taxpayer to office.",Task Statements,Supplemental,,rated,FALSE,11/2020,Analyst - Transition,4.22,42.86,2.111,N,Verify accuracy of financial information.,ACC-02,Conduct and report audit or assurance engagements,primary_output,broad,enabling,setting_or_subspecialty_variant,Authority-side examination of taxpayer accounts is assigned to audit and assurance because the stated occupational outcome is an audit finding; tax subject matter remains a structured secondary link to ACC-04.,ACC-04,TRUE,Accept,,https://www.onetonline.org/link/details/13-2011.00,30.3,included,
21526,21526,13-2011.00,Accountants and Auditors,"Compute taxes owed and prepare tax returns, ensuring compliance with payment, reporting, or other tax requirements.",Task Statements,Supplemental,,rated,FALSE,11/2020,Analyst - Transition,4.14,53.33,2.295,N,"Calculate tax information.; Prepare financial documents, reports, or budgets.",ACC-04,Determine and document tax liabilities and filings,primary_output,occupation_variant,central,direct_expression,Computing tax owed and preparing a compliant return directly expresses the tax-accounting outcome.,,FALSE,Accept,,https://www.onetonline.org/link/details/13-2011.00,30.3,included,
21527,21527,13-2011.00,Accountants and Auditors,"Advise clients in areas such as compensation, employee health care benefits, the design of accounting or data processing systems, or long-range tax or estate plans.",Task Statements,Supplemental,,rated,FALSE,11/2020,Analyst - Transition,4.11,28.77,1.848,N,Advise others on human resources topics.,ACC-03,"Provide financial planning, analysis, and decision support",primary_output,broad,enabling,setting_or_subspecialty_variant,"The statement's common outcome is client advice for long-range organizational or financial choices, but it combines compensation, benefits, systems, tax, and estate domains that cannot be split under one-to-one mapping.",ACC-01; ACC-04,TRUE,Accept,,https://www.onetonline.org/link/details/13-2011.00,30.3,included,
21529,21529,13-2011.00,Accountants and Auditors,"Direct activities of personnel engaged in filing, recording, compiling, and transmitting financial records.",Task Statements,Supplemental,,rated,FALSE,11/2020,Analyst - Transition,3.80,50.00,2.900,N,Coordinate regulatory documentation activities.,ACC-01,"Maintain accounting records, systems, and financial reports",primary_output,broad,enabling,leadership_component,"Directing staff who file, record, compile, and transmit financial records administers the recordkeeping operation; it may also evidence a broader formal-management responsibility not otherwise represented. Reviewer adjudication places this work within the financial-record and reporting outcome rather than a separate canonical task.",,TRUE,Accept,,https://www.onetonline.org/link/details/13-2011.00,30.3,included,
21530,21530,13-2011.00,Accountants and Auditors,Conduct pre-implementation audits to determine if systems and programs under development will work as planned.,Task Statements,Supplemental,,rated,FALSE,11/2020,Analyst - Transition,3.69,65.00,1.923,N,Examine financial records or processes.,ACC-02,Conduct and report audit or assurance engagements,primary_output,broad,enabling,setting_or_subspecialty_variant,"A pre-implementation audit evaluates whether a system or program will operate as planned, a prospective systems-assurance setting.",,FALSE,Accept,,https://www.onetonline.org/link/details/13-2011.00,30.3,included,
21531,21531,13-2011.00,Accountants and Auditors,"Develop, maintain, or analyze budgets, preparing periodic reports that compare budgeted costs to actual costs.",Task Statements,,,established_unrated,FALSE,11/2020,Analyst,,,,N,Analyze budgetary or accounting data.; Prepare operational budgets.,ACC-03,"Provide financial planning, analysis, and decision support",primary_output,broad,central,direct_expression,Budget development and budget-to-actual analysis provide plans and variance information for management decisions.,,FALSE,Accept,,https://www.onetonline.org/link/details/13-2011.00,30.3,included,
21532,21532,13-2011.00,Accountants and Auditors,"Prepare, analyze, or verify annual reports, financial statements, and other records, using accepted accounting and statistical procedures to assess financial condition and facilitate financial planning.",Task Statements,,,established_unrated,FALSE,11/2020,Analyst,,,,N,"Verify accuracy of financial information.; Prepare financial documents, reports, or budgets.",ACC-01,"Maintain accounting records, systems, and financial reports",primary_output,broad,enabling,near_duplicate,"Preparation, analysis, and verification of annual reports and statements substantially overlaps task 21514 while adding financial-condition and planning language.",,FALSE,Accept,,https://www.onetonline.org/link/details/13-2011.00,30.3,included,
21533,21533,13-2011.00,Accountants and Auditors,Process invoices for payment.,Task Statements,,,established_unrated,FALSE,11/2020,Analyst,,,,N,"Pay charges, fees, or taxes.",ACC-01,"Maintain accounting records, systems, and financial reports",primary_output,broad,enabling,constituent_activity,"Invoice processing is a transaction-level input to accounts payable and the accounting record, although in many settings it is performed by clerical accounting staff.",,TRUE,Accept,,https://www.onetonline.org/link/details/13-2011.00,30.3,included,
21534,21534,13-2011.00,Accountants and Auditors,"Review data about material assets, net worth, liabilities, capital stock, surplus, income, or expenditures.",Task Statements,,,established_unrated,FALSE,11/2020,Analyst,,,,N,Examine financial records.,ACC-01,"Maintain accounting records, systems, and financial reports",primary_output,broad,enabling,enabling_activity,"Reviewing assets, liabilities, equity, income, and expenditure data supports accurate period-end records and statements, but the same data can also support management analysis.",ACC-03,TRUE,Accept,,https://www.onetonline.org/link/details/13-2011.00,30.3,included,
21661,21661,15-1252.00,Software Developers,"Analyze information to determine, recommend, and plan installation of a new system or modification of an existing system.",Task Statements,Core,,rated,FALSE,08/2025,Incumbent,3.61,94.99,3.538,N,Analyze project data to determine specifications or requirements.,SWD-01,Deliver and sustain a software system or change,primary_output,broad,enabling,constituent_activity,System-installation or modification planning defines the intended software change and its implementation constraints.,,FALSE,Accept,,https://www.onetonline.org/link/details/15-1252.00,30.3,included,
21662,21662,15-1252.00,Software Developers,Analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,Task Statements,Core,,rated,FALSE,08/2025,Incumbent,4.08,89.73,4.112,N,Analyze project data to determine specifications or requirements.,SWD-01,Deliver and sustain a software system or change,primary_output,broad,enabling,constituent_activity,"Analysis of user needs, requirements, feasibility, time, and cost defines what software can be delivered.",,FALSE,Accept,,https://www.onetonline.org/link/details/15-1252.00,30.3,included,
21663,21663,15-1252.00,Software Developers,Confer with data processing or project managers to obtain information on limitations or capabilities for data processing projects.,Task Statements,Core,,rated,FALSE,08/2025,Incumbent,3.32,81.30,3.558,N,Collaborate with others to resolve information technology issues.,SWD-01,Deliver and sustain a software system or change,primary_output,broad,enabling,communication_component,Obtaining limitations and capability information from managers resolves constraints on the software project.,,FALSE,Accept,,https://www.onetonline.org/link/details/15-1252.00,30.3,included,
21664,21664,15-1252.00,Software Developers,"Confer with systems analysts, engineers, programmers and others to design systems and to obtain information on project limitations and capabilities, performance requirements and interfaces.",Task Statements,Core,,rated,FALSE,08/2025,Incumbent,3.75,93.06,4.312,N,Collaborate with others to determine design specifications or details.,SWD-01,Deliver and sustain a software system or change,primary_output,broad,enabling,communication_component,"Technical collaboration establishes design specifications, interfaces, performance requirements, and feasible system boundaries.",,FALSE,Accept,,https://www.onetonline.org/link/details/15-1252.00,30.3,included,
21665,21665,15-1252.00,Software Developers,"Consult with customers or other departments on project status, proposals, or technical issues, such as software system design or maintenance.",Task Statements,Core,,rated,FALSE,08/2025,Incumbent,3.37,91.30,3.650,N,Provide technical support for software maintenance or use.,SWD-01,Deliver and sustain a software system or change,primary_output,broad,enabling,communication_component,"The DWA frames this as technical support for software maintenance or use, fitting operational adoption and support, but the task wording also covers proposals, status, and design issues during development. Reviewer adjudication treats deployment, operation, and user enablement as part of end-to-end software delivery.",,TRUE,Accept,,https://www.onetonline.org/link/details/15-1252.00,30.3,included,
21666,21666,15-1252.00,Software Developers,Coordinate installation of software system.,Task Statements,Supplemental,,rated,FALSE,08/2025,Incumbent,3.75,57.23,3.403,N,Coordinate software or hardware installation.,SWD-01,Deliver and sustain a software system or change,primary_output,broad,central,direct_expression,"Coordinating installation directly concerns putting the software system into operational use. Reviewer adjudication treats deployment, operation, and user enablement as part of end-to-end software delivery.",,FALSE,Accept,,https://www.onetonline.org/link/details/15-1252.00,30.3,included,
21667,21667,15-1252.00,Software Developers,"Design, develop and modify software systems, using scientific analysis and mathematical models to predict and measure outcomes and consequences of design.",Task Statements,Core,,rated,FALSE,08/2025,Incumbent,3.56,68.24,3.997,N,Apply mathematical principles or statistical approaches to solve problems in scientific or applied fields.; Modify software programs to improve performance.; Design software applications.,SWD-01,Deliver and sustain a software system or change,primary_output,broad,central,direct_expression,"Designing, developing, and modifying software systems directly expresses delivery of a software artifact; scientific analysis and modeling are domain techniques within that outcome.",,FALSE,Accept,,https://www.onetonline.org/link/details/15-1252.00,30.3,included,
21668,21668,15-1252.00,Software Developers,Determine system performance standards.,Task Statements,Core,,rated,FALSE,08/2025,Incumbent,3.53,89.38,3.825,N,Develop performance metrics or standards related to information technology.,SWD-01,Deliver and sustain a software system or change,primary_output,broad,enabling,constituent_activity,Performance standards define acceptance constraints for the delivered system or change.,,FALSE,Accept,,https://www.onetonline.org/link/details/15-1252.00,30.3,included,
21669,21669,15-1252.00,Software Developers,"Develop or direct software system testing or validation procedures, programming, or documentation.",Task Statements,Core,,rated,FALSE,08/2025,Incumbent,3.90,92.31,4.183,N,Develop testing routines or procedures.; Manage information technology projects or system activities.,SWD-01,Deliver and sustain a software system or change,primary_output,broad,enabling,constituent_activity,"Programming, testing, validation, and documentation are linked elements of producing an acceptable software system; directing those activities does not by itself imply formal personnel management.",,FALSE,Accept,,https://www.onetonline.org/link/details/15-1252.00,30.3,included,
21670,21670,15-1252.00,Software Developers,"Modify existing software to correct errors, adapt it to new hardware, or upgrade interfaces and improve performance.",Task Statements,Core,,rated,FALSE,08/2025,Incumbent,3.74,89.95,4.518,N,Modify software programs to improve performance.,SWD-01,Deliver and sustain a software system or change,primary_output,broad,central,direct_expression,"Correcting errors, adapting to hardware, upgrading interfaces, and improving performance all produce a modified software artifact.",,FALSE,Accept,,https://www.onetonline.org/link/details/15-1252.00,30.3,included,
21671,21671,15-1252.00,Software Developers,Monitor functioning of equipment to ensure system operates in conformance with specifications.,Task Statements,Supplemental,,rated,FALSE,08/2025,Incumbent,4.12,48.33,4.513,N,Monitor computer system performance to ensure proper operation.,SWD-01,Deliver and sustain a software system or change,primary_output,broad,central,direct_expression,"Monitoring the running equipment or system for conformance is operational stewardship of a deployed implementation. Reviewer adjudication treats deployment, operation, and user enablement as part of end-to-end software delivery.",,FALSE,Accept,,https://www.onetonline.org/link/details/15-1252.00,30.3,included,
21672,21672,15-1252.00,Software Developers,"Obtain and evaluate information on factors such as reporting formats required, costs, or security needs to determine hardware configuration.",Task Statements,Supplemental,,rated,FALSE,08/2025,Incumbent,3.07,63.08,2.920,N,Analyze project data to determine specifications or requirements.,SWD-01,Deliver and sustain a software system or change,primary_output,broad,enabling,constituent_activity,"Determining hardware configuration from reporting, cost, and security needs establishes a technical constraint on system design, though it can also belong to systems-architecture or infrastructure roles.",,TRUE,Accept,,https://www.onetonline.org/link/details/15-1252.00,30.3,included,
21673,21673,15-1252.00,Software Developers,"Prepare reports or correspondence concerning project specifications, activities, or status.",Task Statements,Core,,rated,FALSE,08/2025,Incumbent,3.68,72.84,3.728,Y,Communicate project information to others.,SWD-01,Deliver and sustain a software system or change,primary_output,broad,enabling,communication_component,"Reports and correspondence about specifications, activities, and status coordinate acceptance and progress of the software-delivery responsibility rather than constituting a separate occupational product.",,FALSE,Accept,,https://www.onetonline.org/link/details/15-1252.00,30.3,included,
21676,21676,15-1252.00,Software Developers,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements.",Task Statements,Core,,rated,FALSE,08/2025,Incumbent,3.59,82.48,4.299,N,Assess database performance.; Prepare data for analysis.,SWD-01,Deliver and sustain a software system or change,primary_output,broad,enabling,enabling_activity,"Data storage, retrieval, and manipulation supply evidence about system capabilities and requirements, but the database-performance DWA also suggests a possible data or database specialization.",,TRUE,Accept,,https://www.onetonline.org/link/details/15-1252.00,30.3,included,
21677,21677,15-1252.00,Software Developers,"Supervise and assign work to programmers, designers, technologists, technicians, or other engineering or scientific personnel.",Task Statements,Supplemental,,rated,FALSE,08/2025,Incumbent,3.13,56.54,3.576,N,Assign duties or work schedules to employees.; Supervise information technology personnel.,,,,,,excluded_noncanonical_source,"Retained for provenance but excluded from canonical developer analysis because formal personnel supervision is a managerial-role variant, not the software-delivery outcome selected by the reviewer.",,FALSE,Accept,,https://www.onetonline.org/link/details/15-1252.00,30.3,excluded,managerial_role_variant
21678,21678,15-1252.00,Software Developers,"Supervise the work of programmers, technologists and technicians and other engineering and scientific personnel.",Task Statements,Supplemental,,rated,FALSE,08/2025,Incumbent,3.51,62.56,4.143,N,Supervise information technology personnel.,,,,,,excluded_noncanonical_source,"Retained for provenance but excluded from canonical developer analysis because formal personnel supervision is a managerial-role variant, not the software-delivery outcome selected by the reviewer.",,FALSE,Accept,,https://www.onetonline.org/link/details/15-1252.00,30.3,excluded,managerial_role_variant
21679,21679,15-1252.00,Software Developers,Train users to use new or modified equipment.,Task Statements,Supplemental,,rated,FALSE,08/2025,Incumbent,2.91,51.92,3.042,N,Teach others to use computer equipment or hardware.,SWD-01,Deliver and sustain a software system or change,primary_output,broad,enabling,constituent_activity,"Training users supports adoption of the new or modified implementation, although the reference to equipment and the training modality may place it outside some developer roles. Reviewer adjudication treats deployment, operation, and user enablement as part of end-to-end software delivery.",,TRUE,Accept,,https://www.onetonline.org/link/details/15-1252.00,30.3,included,
17231,17231,29-1224.00,Radiologists,Participate in quality improvement activities including discussions of areas where risk of error is high.,Task Statements,Core,,rated,FALSE,08/2023,Incumbent,4.14,88.48,3.469,N,Develop healthcare quality and safety procedures.,,,,,,excluded_noncanonical_source,Retained for provenance but excluded from canonical radiology analysis because the reviewer removed the standalone governance and professional-support task; this statement does not itself produce one of the three selected clinical outcomes.,,FALSE,Accept,,https://www.onetonline.org/link/details/29-1224.00,30.3,excluded,system_level_quality_or_governance
17234,17234,29-1224.00,Radiologists,Participate in continuing education activities to maintain and develop expertise.,Task Statements,Core,,rated,FALSE,08/2023,Incumbent,4.25,98.41,3.111,N,Maintain medical or professional knowledge.,,,,,,excluded_noncanonical_source,Retained for provenance but excluded from canonical radiology analysis because the reviewer removed the standalone governance and professional-support task; this statement does not itself produce one of the three selected clinical outcomes.,,FALSE,Accept,,https://www.onetonline.org/link/details/29-1224.00,30.3,excluded,professional_development_or_teaching
17235,17235,29-1224.00,Radiologists,Develop treatment plans for radiology patients.,Task Statements,Supplemental,,rated,FALSE,08/2023,Incumbent,4.28,61.59,4.549,N,Develop medical treatment plans.,RAD-02,Plan and perform image-guided procedures and manage procedural care,primary_output,occupation_variant,enabling,cross_boundary_best_fit,"Developing treatment plans is distinct from routine image-based diagnosis and most naturally supports interventional or procedural radiologic care, but the generic wording can also include therapeutic nuclear medicine.",RAD-03,TRUE,Accept,,https://www.onetonline.org/link/details/29-1224.00,30.3,included,
17236,17236,29-1224.00,Radiologists,Establish or enforce standards for protection of patients or personnel.,Task Statements,Core,,rated,FALSE,08/2023,Incumbent,4.46,84.98,3.723,N,Verify that medical activities or operations meet standards.; Determine protocols for medical procedures.,,,,,,excluded_noncanonical_source,Retained for provenance but excluded from canonical radiology analysis because the reviewer removed the standalone governance and professional-support task; this statement does not itself produce one of the three selected clinical outcomes.,,FALSE,Accept,,https://www.onetonline.org/link/details/29-1224.00,30.3,excluded,system_level_quality_or_governance
17239,17239,29-1224.00,Radiologists,Review or transmit images and information using picture archiving or communications systems.,Task Statements,Core,,rated,FALSE,08/2023,Incumbent,4.84,97.05,6.583,N,"Analyze test data or images to inform diagnosis or treatment.; Send information, materials or documentation.",RAD-01,Evaluate patients through diagnostic imaging and communicate findings,primary_output,broad,enabling,enabling_component,Reviewing and transmitting images through PACS enables interpretation and delivery of the diagnostic assessment.,,FALSE,Accept,,https://www.onetonline.org/link/details/29-1224.00,30.3,included,
17241,17241,29-1224.00,Radiologists,"Recognize or treat complications during and after procedures, including blood pressure problems, pain, oversedation, or bleeding.",Task Statements,Core,,rated,FALSE,08/2023,Incumbent,4.77,80.06,3.474,N,Monitor patients following surgeries or other treatments.,RAD-02,Plan and perform image-guided procedures and manage procedural care,primary_output,occupation_variant,central,direct_component,Recognizing and treating peri-procedural complications is part of physician responsibility for completing invasive radiologic procedures safely.,,FALSE,Accept,,https://www.onetonline.org/link/details/29-1224.00,30.3,included,
17242,17242,29-1224.00,Radiologists,Prepare comprehensive interpretive reports of findings.,Task Statements,Core,,rated,FALSE,08/2023,Incumbent,4.98,86.65,6.776,N,Prepare reports summarizing patient diagnostic or care activities.,RAD-01,Evaluate patients through diagnostic imaging and communicate findings,primary_output,broad,central,direct_component,The comprehensive interpretive report is the principal documented form of the clinically usable diagnostic assessment.,,FALSE,Accept,,https://www.onetonline.org/link/details/29-1224.00,30.3,included,
17243,17243,29-1224.00,Radiologists,"Obtain patients' histories from electronic records, patient interviews, dictated reports, or by communicating with referring clinicians.",Task Statements,Core,,rated,FALSE,08/2023,Incumbent,4.84,99.42,6.592,N,"Gather medical information from patient histories.; Collect medical information from patients, family members, or other medical professionals.",RAD-01,Evaluate patients through diagnostic imaging and communicate findings,primary_output,broad,enabling,enabling_component,Patient history and referral context are integral to producing an appropriately contextualized image-based assessment.,,FALSE,Accept,,https://www.onetonline.org/link/details/29-1224.00,30.3,included,
