product_ai_release_id,product_id,provider_company_id_at_event,release_name_or_version,qualifying_ai_event_type,qualifying_ai_event_date,event_date_precision,availability_stage,availability_jurisdiction_code,ai_feature_summary,event_evidence_url,event_evidence_access_date,eligibility_status,eligibility_rationale,protocol_version
rel_gehc_sonic_dl_20230605,prod_gehc_sonic_dl,org_ge_healthcare,Sonic DL,initial_external_release,2023-06-05,exact,general_availability,US,FDA-cleared deep-learning acceleration for cardiac MRI acquisition.,https://investor.gehealthcare.com/news-releases/news-release-details/ge-healthcare-introduces-sonic-dl-groundbreaking-fda-cleared-ai,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_rapidai_ncct_stroke_20231127,prod_rapidai_ncct_stroke,org_rapidai,Rapid NCCT Stroke,initial_external_release,2023-11-27,exact,general_availability,US,First verified on-market evidence for automated noncontrast CT stroke analysis.,https://www.rapidai.com/press-release/rapidai-premieres-edge-cloud-platform,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_qureai_qct_ln_quant_20240822,prod_qureai_qct_ln_quant,org_qure_ai,qCT LN Quant,initial_external_release,2024-08-22,exact,general_availability,US,Launch of an FDA-cleared lung-nodule quantification product.,https://www.qure.ai/us/news-press-coverages/qure.ai-launches-FDA-cleared-AI-solution-for-advanced-lung-nodule-quantification-on-CT-scans-at-AABIP-2024,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_gleamer_boneage_2023,prod_gleamer_boneage,org_gleamer,BoneAge,initial_external_release,2023,year,general_availability,EU,Commercial launch year reported by the company.,https://www.gleamer.ai/us/company,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_gleamer_bonemetrics_2023,prod_gleamer_bonemetrics,org_gleamer,BoneMetrics,initial_external_release,2023,year,general_availability,EU,Commercial launch year reported by the company.,https://www.gleamer.ai/us/company,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_nuance_powerscribe_smart_impression_20231128,prod_nuance_powerscribe_smart_impression,org_microsoft_nuance,PowerScribe Smart Impression,initial_external_release,2023-11-28,exact,limited_customer_release,US,Named-customer launch of generative-AI radiology impressions and recommendations.,https://www.prnewswire.com/news-releases/nuance-accelerates-the-adoption-of-generative-ai-for-radiology-with-powerscribe-advanced-auto-impression-capability-301998760.html,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_philips_smartspeed_precise_20250226,prod_philips_smartspeed_precise,org_philips,SmartSpeed Precise,initial_external_release,2025-02-26,exact,general_availability,GLOBAL,Worldwide launch across specified Philips 1.5T and 3.0T MRI systems.,https://www.philips.com/a-w/about/news/archive/standard/news/press/2025/philips-accelerates-precise-imaging-with-unique-ai-technologies-in-mri-to-improve-patient-outcomes.html,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_gehc_clarify_dl_20241205,prod_gehc_clarify_dl,org_ge_healthcare,Clarify DL,initial_external_release,2024-12-05,exact,general_availability,EU,First verified external portfolio release in CE-marked jurisdictions; later U.S. clearance is separate.,https://www.gehealthcare.com/en-us/about/newsroom/press-releases/ge-healthcare-expands-its-effortless-recon-dl-portfolio-bringing-advanced-deep-learning-image-reconstruction-to-clinicians-worldwide,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_mim_sureplan_mrt_20241003,prod_mim_sureplan_mrt,org_mim_software,MIM SurePlan MRT,material_task_scope_expansion,2024-10-03,exact,general_availability,GLOBAL,Public availability announcement for Monte Carlo dosimetry via Dose Planning Method.,https://www.gehealthcare.com/en-us/about/newsroom/press-releases/ge-healthcares-mim-software-announces-fda-clearance-of-monte-carlo-dosimetry-for-theranostics,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_cydar_maps_20250409,prod_cydar_maps,org_cydar_medical,Cydar Maps,material_task_scope_expansion,2025-04-09,exact,general_availability,GLOBAL,Introduction of Automatic Volume Assessment inside the existing platform.,https://cydarmedical.com/?news=introducing-ava,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_mendaera_focalist_20250911,prod_mendaera_focalist,org_mendaera,Focalist,initial_external_release,2025-09-11,exact,limited_customer_release,US,First procedures marked the beginning of a limited U.S. launch.,https://www.mendaera.com/press-releases/mendaera-announces-worlds-first-procedures-with-focalist-tm-handheld-robotic-system,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_github_copilot_20250925,prod_github_copilot,org_github,GitHub Copilot — coding agent configuration,material_autonomy_expansion,2025-09-25,exact,general_availability,GLOBAL,Copilot coding agent became generally available to paid subscribers.,https://github.blog/changelog/2025-09-25-copilot-coding-agent-is-now-generally-available/,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_anthropic_claude_code_20250224,prod_anthropic_claude_code,org_anthropic,Claude Code,initial_external_release,2025-02-24,exact,limited_customer_release,GLOBAL,Limited research-preview launch of an agentic command-line coding tool.,https://www.anthropic.com/news/claude-3-7-sonnet,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_openai_codex_20250516,prod_openai_codex,org_openai,Codex,initial_external_release,2025-05-16,exact,limited_customer_release,GLOBAL,"Research-preview launch to ChatGPT Pro, Business, and Enterprise customers.",https://openai.com/index/introducing-codex/,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_google_jules_20241211,prod_google_jules,org_google,Jules,initial_external_release,2024-12-11,exact,limited_customer_release,GLOBAL,Initial release to selected trusted testers; public beta followed in 2025.,https://developers.googleblog.com/en/the-next-chapter-of-the-gemini-era-for-developers/,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_aws_amazon_q_developer_20231128,prod_aws_amazon_q_developer,org_aws,Amazon Q Developer,initial_external_release,2023-11-28,exact,public_beta,GLOBAL,"Preview launch in AWS Console, Visual Studio Code, and JetBrains IDEs.",https://aws.amazon.com/developer/generative-ai/amazon-q/change-log/,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_replit_agent_202409,prod_replit_agent,org_replit,Replit Agent,initial_external_release,2024-09,month,limited_customer_release,GLOBAL,Early-access launch to Replit Core subscribers.,https://replit.com/blog/introducing-replit-agent,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_hp_siteprint_20230719,prod_hp_siteprint,org_hp,HP SitePrint,material_autonomy_expansion,2023-07-19,exact,general_availability,US;CA;GB;IE,Commercial launch of enhanced sensors and obstacle avoidance after 2022 early access.,https://www.hp.com/us-en/newsroom/press-releases/2023/hp-siteprint-launches.html,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_dusty_fieldprint_platform_20241010,prod_dusty_fieldprint_platform,org_dusty_robotics,FieldPrint Platform / FieldPrinter 2,initial_external_release,2024-10-10,exact,general_availability,NA,"General availability of FieldPrint Platform, FieldPrinter 2, and floor-elevation functions.",https://www.dustyrobotics.com/press,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_canvas_1200cx_20240710,prod_canvas_1200cx,org_canvas_jlg,Canvas 1200CX,initial_external_release,2024-07-10,exact,general_availability,US,Release of an AI-enabled robotic drywall finishing system for customer projects.,https://www.businesswire.com/news/home/20240710771518/en/Canvas-Worlds-First-Robotic-Drywall-Finishing-Company-Launches-the-1200CX,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_okibo_eg7_plus_20251209,prod_okibo_eg7_plus,org_okibo,EG7+,initial_external_release,2025-12-09,exact,limited_customer_release,US,National U.S. launch plus a named deployed EG7+ unit establish external customer availability; pre-order language limits the availability classification rather than excluding the product.,https://okibo.com/okibo-announces-national-launch-of-eg7-robot-following-successful-premiere-at-hensel-phelps-innovation-day/,2026-08-19,eligible,"Adjudicated eligible as a limited customer release: an externally identifiable repeatable product was launched and deployed, while remaining delivery/pre-order uncertainty does not support a general-availability claim.",0.1
rel_auar_microfactory_masterbuilder_2025q4,prod_auar_microfactory_masterbuilder,org_auar,MicroFactory + MasterBuilder,initial_external_release,2025-Q4,quarter,limited_customer_release,US,Invite-only external MicroFactory deployment and autonomous production for a customer.,https://auar.io/resources/news/auar-2025-year-in-review,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_procore_ai_20241120,prod_procore_ai,org_procore,Procore AI / Copilot,initial_external_release,2024-11-20,exact,general_availability,GLOBAL,Global launch and availability of Procore AI and Copilot.,https://www.procore.com/press/procore-launches-procore-ai-with-new-agents-to-boost-construction-management-efficiency,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_openspace_bim_plus_20240201,prod_openspace_bim_plus,org_openspace,OpenSpace BIM+,initial_external_release,2024-02-01,exact,general_availability,GLOBAL,Immediate release after testing by more than 900 customers.,https://www.openspace.ai/press-releases/openspace-introduces-openspace-bim-for-streamlined-field-and-vdc-team-coordination/,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_aurora_driver_freight_20250501,prod_aurora_driver_freight,org_aurora,Aurora Driver for Freight,material_autonomy_expansion,2025-05-01,exact,limited_customer_release,US,Limited commercial driverless Class-8 freight service launched on Dallas–Houston.,https://ir.aurora.tech/sec-filings/all-sec-filings/content/0001828108-25-000078/auroracommerciallaunchpres.htm,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_kodiak_driver_20241218,prod_kodiak_driver,org_kodiak_ai,Kodiak Driver,material_autonomy_expansion,2024-12-18,exact,limited_customer_release,US,Customer-owned driverless Class-8 deployment began with Atlas in the Permian Basin.,https://investors.kodiak.ai/node/6696/pdf,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_waabi_driver_20230921,prod_waabi_driver,org_waabi,Waabi Driver,initial_external_release,2023-09-21,exact,limited_customer_release,US,Supervised commercial loads launched with Uber Freight on Dallas–Houston.,https://www.uberfreight.com/en-US/blog/uber-freight-and-waabi-introduce-industry-first-autonomous-truck-deployment-solution,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_volvo_vnl_autonomous_20241211,prod_volvo_vnl_autonomous,org_volvo_autonomous,Volvo VNL Autonomous powered by Aurora Driver,initial_external_release,2024-12-11,exact,limited_customer_release,US,Integrated autonomous-truck operations began for DHL on two Texas lanes with a safety driver.,https://www.volvoautonomoussolutions.com/en-en/news-and-insights/press-releases/2024/dec/volvo-begins-autonomous-operations-for-dhl-supply-chain-in-texas.html,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_gatik_driver_class7_20230906,prod_gatik_driver_class7,org_gatik,Gatik Driver / Class-7 refrigerated autonomous trucks,material_task_scope_expansion,2023-09-06,exact,limited_customer_release,US,Added a Class-7 refrigerated short-haul deployment for Tyson Foods.,https://archive.gatik.ai/news/press-releases/tyson-foods-and-gatik-to-deploy-autonomous-trucks-in-northwest-arkansas-to-optimize-supply-chain-efficiency/,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_einride_autonomous_faas_20231113,prod_einride_autonomous_faas,org_einride,Einride autonomous vehicle / Freight Capacity as a Service,material_autonomy_expansion,2023-11-13,exact,limited_customer_release,US,Full-time daily unmanned commercial operation began for GE Appliances in Tennessee.,https://www.einride.tech/press/first-fulltime-autonomous-operations,2026-08-19,eligible,Verified first-wave qualifying event and external availability; not a completeness claim.,0.1
rel_intuit_turbotax_assist_20230906,prod_intuit_turbotax_assist,org_intuit,TurboTax + Intuit Assist,material_ai_enablement,2023-09-06,exact,limited_customer_release,US,Intuit Assist became available to selected U.S. TurboTax users for personalized tax preparation and filing support.,https://investors.intuit.com/news-events/press-releases/detail/43/introducing-intuit-assist-the-generative-ai-powered-financial-assistant-for-small-businesses-and-consumers,2026-08-19,eligible,Included after adjudication: products that perform or bypass occupational work remain in scope even when the primary user is the customer rather than the occupation worker.,0.1

