product_design_evidence_id,product_task_assessment_id,aida_stage,evidence_role,product_configuration_documented,product_design_evidence_type,product_design_evidence_url,source_publication_date,source_access_date,evidence_summary,supported_product_autonomy_rating,documented_human_gate,evidence_strength,source_conflict_flag,supports_final_rating,reviewer_id,review_date
pde_pta_caseware_aida_acc02_map,pta_caseware_aida_acc02,not_stage_specific,task_mapping,AiDA in Caseware Cloud,release_notes,https://www.caseware.com/news/caseware-introduces-ai-powered-digital-assistant-aida,2024-05-28,2026-08-19,"Answers methodology and compliance questions, processes evidence, supports analysis, and drafts workpapers and deliverables.",,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_datasnipper_documine_acc02_map,pta_datasnipper_documine_acc02,not_stage_specific,task_mapping,DocuMine,release_notes,https://www.datasnipper.com/resources/documine-now-available-globally---datasnippers-most-advanced-genai-product-yet,2025-03-31,2026-08-19,"Finds, analyzes, references, and verifies audit evidence across complex documents.",,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_vena_copilot_fpa_acc03_map,pta_vena_copilot_fpa_acc03,not_stage_specific,task_mapping,Copilot for FP&A,release_notes,https://www.venasolutions.com/newsroom/vena-introduces-vena-copilot-a-complete-planning-ai-assistant-purpose-built-for-fpa-teams,2024-04-03,2026-08-19,"Gathers data, generates reports, analyzes trends and variances, and optimizes forecasts.",,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_sage_intacct_acc03_map,pta_sage_intacct_acc03,not_stage_specific,task_mapping,Sage Intacct + Sage Copilot,release_notes,https://www.sage.com/en-us/news/press-releases/2024/12/sage-intacct-supports-smb-growth-with-new-enhancements-and-capabilities/,2024-12-03,2026-08-19,"Performs variance analysis, sends alerts, and supports budget-versus-actual decisions.",,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_tr_onesource_indirect_tax_acc04_map,pta_tr_onesource_indirect_tax_acc04,not_stage_specific,task_mapping,ONESOURCE Indirect Tax + CoCounsel,release_notes,https://www.thomsonreuters.com/en/press-releases/2024/october/thomson-reuters-unveils-cocounsel-integration-in-onesource-corporate-tax-solutions,2024-10-31,2026-08-19,"Provides cited guidance for indirect-tax determination, compliance, and e-invoicing; autonomous filing is not documented.",,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_avalara_tax_research_acc04_map,pta_avalara_tax_research_acc04,not_stage_specific,task_mapping,Avalara Tax Research + Avi,release_notes,https://newsroom.avalara.com/2025-07-09-Avalara-Embeds-AI-Powered-Assistant-into-Avalara-Tax-Research,2025-07-09,2026-08-19,"Provides cited tax research on taxability, rates, and defensible tax positions; filing is outside scope.",,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_radai_omni_reporting_rad01_map,pta_radai_omni_reporting_rad01,not_stage_specific,task_mapping,Rad AI Omni Reporting,release_notes,https://www.radai.com/news/rad-ai-to-unveil-next-generation-intelligent-radiology-reporting-solution-at-launch-event,2023-08-22,2026-08-19,Generates draft reports and impressions from radiologist-provided findings and clinical indication for review and finalization; primary pixel interpretation is outside scope.,,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_gehc_sonic_dl_rad01_map,pta_gehc_sonic_dl_rad01,not_stage_specific,task_mapping,Sonic DL,release_notes,https://investor.gehealthcare.com/news-releases/news-release-details/ge-healthcare-introduces-sonic-dl-groundbreaking-fda-cleared-ai,2023-06-05,2026-08-19,Accelerates cardiac MRI acquisition and improves image quality; does not diagnose or report.,,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_rapidai_ncct_stroke_rad01_map,pta_rapidai_ncct_stroke_rad01,not_stage_specific,task_mapping,Rapid NCCT Stroke,release_notes,https://www.rapidai.com/press-release/rapidai-premieres-edge-cloud-platform,2023-11-27,2026-08-19,Analyzes NCCT for suspected ICH/LVO and sends triage notifications supporting acute-stroke interpretation and transfer decisions.,,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_qureai_qct_ln_quant_rad01_map,pta_qureai_qct_ln_quant_rad01,not_stage_specific,task_mapping,qCT LN Quant,release_notes,https://www.qure.ai/us/news-press-coverages/qure.ai-launches-FDA-cleared-AI-solution-for-advanced-lung-nodule-quantification-on-CT-scans-at-AABIP-2024,2024-08-22,2026-08-19,"Quantifies and tracks lung nodules, reconstructs images, estimates malignancy risk, and suggests guideline-based management.",,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_gleamer_boneage_rad01_map,pta_gleamer_boneage_rad01,not_stage_specific,task_mapping,BoneAge,release_notes,https://www.gleamer.ai/us/company,2023,2026-08-19,"Automates Greulich and Pyle bone-age assessment and predicted adult height from frontal hand radiographs for ages 3–18, with radiologist review.",,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_gleamer_bonemetrics_rad01_map,pta_gleamer_bonemetrics_rad01,not_stage_specific,task_mapping,BoneMetrics,release_notes,https://www.gleamer.ai/us/company,2023,2026-08-19,Automates musculoskeletal measurements on X-ray and EOS for diagnosis and monitoring; not general radiographic interpretation.,,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_nuance_powerscribe_smart_impression_rad01_map,pta_nuance_powerscribe_smart_impression_rad01,not_stage_specific,task_mapping,PowerScribe Smart Impression,release_notes,https://www.prnewswire.com/news-releases/nuance-accelerates-the-adoption-of-generative-ai-for-radiology-with-powerscribe-advanced-auto-impression-capability-301998760.html,2023-11-28,2026-08-19,Generates draft impressions and recommendations from report content and user style for radiologist review; not primary pixel interpretation.,,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_philips_smartspeed_precise_rad01_map,pta_philips_smartspeed_precise_rad01,not_stage_specific,task_mapping,SmartSpeed Precise,release_notes,https://www.philips.com/a-w/about/news/archive/standard/news/press/2025/philips-accelerates-precise-imaging-with-unique-ai-technologies-in-mri-to-improve-patient-outcomes.html,2025-02-26,2026-08-19,Uses dual AI engines for faster MRI acquisition/reconstruction and higher image quality; diagnosis and reporting are outside scope.,,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_gehc_clarify_dl_rad03_map,pta_gehc_clarify_dl_rad03,not_stage_specific,task_mapping,Clarify DL,release_notes,https://www.gehealthcare.com/en-us/about/newsroom/press-releases/ge-healthcare-expands-its-effortless-recon-dl-portfolio-bringing-advanced-deep-learning-image-reconstruction-to-clinicians-worldwide,2024-12-05,2026-08-19,Enhances bone SPECT reconstruction and image quality without increasing dose or scan time.,,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_mim_sureplan_mrt_rad03_map,pta_mim_sureplan_mrt_rad03,not_stage_specific,task_mapping,MIM SurePlan MRT,release_notes,https://www.gehealthcare.com/en-us/about/newsroom/press-releases/ge-healthcares-mim-software-announces-fda-clearance-of-monte-carlo-dosimetry-for-theranostics,2024-10-03,2026-08-19,"Automates SPECT reconstruction, AI segmentation, time-activity fitting, absorbed-dose calculation, and reporting for radiopharmaceutical therapy planning; administration is outside scope.",,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_cydar_maps_rad02_map,pta_cydar_maps_rad02,not_stage_specific,task_mapping,Cydar Maps,release_notes,https://cydarmedical.com/?news=introducing-ava,2025-04-09,2026-08-19,"AI-based 3D planning, intraoperative image guidance, and post-procedure review for endovascular procedures; first-party examples name vascular surgeons, so occupation transfer requires later review.",,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_mendaera_focalist_rad02_map,pta_mendaera_focalist_rad02,not_stage_specific,task_mapping,Focalist,release_notes,https://www.mendaera.com/press-releases/mendaera-announces-worlds-first-procedures-with-focalist-tm-handheld-robotic-system,2025-09-11,2026-08-19,"AI, robotics, and real-time ultrasound guide precise needle placement; first use was urologic renal access, so occupation transfer requires later review.",,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_github_copilot_swd01_map,pta_github_copilot_swd01,not_stage_specific,task_mapping,GitHub Copilot — coding agent configuration,release_notes,https://github.blog/changelog/2025-09-25-copilot-coding-agent-is-now-generally-available/,2025-09-25,2026-08-19,"Assigned repository issue to isolated GitHub Actions environment to draft PR; implements features, fixes bugs and technical debt, improves tests and documentation, with review before merge.",,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_anthropic_claude_code_swd01_map,pta_anthropic_claude_code_swd01,not_stage_specific,task_mapping,Claude Code,release_notes,https://www.anthropic.com/news/claude-3-7-sonnet,2025-02-24,2026-08-19,"Searches and reads repositories, edits files, runs tests and CLI tools, and commits or pushes code while keeping a developer in the loop.",,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_openai_codex_swd01_map,pta_openai_codex_swd01,not_stage_specific,task_mapping,Codex,release_notes,https://openai.com/index/introducing-codex/,2025-05-16,2026-08-19,"Writes features, answers codebase questions, fixes bugs, runs tests iteratively, and proposes pull requests in cloud sandboxes.",,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_google_jules_swd01_map,pta_google_jules_swd01,not_stage_specific,task_mapping,Jules,release_notes,https://developers.googleblog.com/en/the-next-chapter-of-the-gemini-era-for-developers/,2024-12-11,2026-08-19,"Plans and performs multi-file edits, bug fixes, tests, features, dependency upgrades, and prepares GitHub pull requests.",,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_aws_amazon_q_developer_swd01_map,pta_aws_amazon_q_developer_swd01,not_stage_specific,task_mapping,Amazon Q Developer,release_notes,https://aws.amazon.com/developer/generative-ai/amazon-q/change-log/,2023-11-28,2026-08-19,"Supports research, planning, coding, testing, debugging, troubleshooting, modernization, feature work, and code transformation, especially in AWS and IDE contexts.",,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_replit_agent_swd01_map,pta_replit_agent_swd01,not_stage_specific,task_mapping,Replit Agent,release_notes,https://replit.com/blog/introducing-replit-agent,2024-09,2026-08-19,"Builds greenfield applications inside Replit, configures environments, installs dependencies, executes code, and deploys apps; evidence is platform-bounded.",,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_hp_siteprint_can47203101_map,pta_hp_siteprint_can47203101,not_stage_specific,task_mapping,HP SitePrint,release_notes,https://www.hp.com/us-en/newsroom/press-releases/2023/hp-siteprint-launches.html,2023-07-19,2026-08-19,Converts CAD to autonomous full-scale construction-site layout using a total station; supports the layout component of project planning.,,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_dusty_fieldprint_platform_can47203101_map,pta_dusty_fieldprint_platform_can47203101,not_stage_specific,task_mapping,FieldPrint Platform / FieldPrinter 2,release_notes,https://www.dustyrobotics.com/press,2024-10-10,2026-08-19,Uses BIM/CAD coordination and AI-driven computer vision to print multi-trade floor layouts.,,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_dusty_fieldprint_platform_can47203102_map,pta_dusty_fieldprint_platform_can47203102,not_stage_specific,task_mapping,FieldPrint Platform / FieldPrinter 2,release_notes,https://www.dustyrobotics.com/press,2024-10-10,2026-08-19,Provides workface dimensional layout used before fabrication and installation of permanent components.,,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_canvas_1200cx_can47203104_map,pta_canvas_1200cx_can47203104,not_stage_specific,task_mapping,Canvas 1200CX,release_notes,https://www.businesswire.com/news/home/20240710771518/en/Canvas-Worlds-First-Robotic-Drywall-Finishing-Company-Launches-the-1200CX,2024-07-10,2026-08-19,Worker-operated robot applies and sands Level 4–5 drywall compound on walls up to 12 feet.,,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_okibo_eg7_plus_can47203104_map,pta_okibo_eg7_plus_can47203104,not_stage_specific,task_mapping,EG7+,release_notes,https://okibo.com/okibo-announces-national-launch-of-eg7-robot-following-successful-premiere-at-hensel-phelps-innovation-day/,2025-12-09,2026-08-19,"Autonomous sanding, painting, and Level-4 finishing using 3D scanning and real-time modeling.",,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_auar_microfactory_masterbuilder_can47203102_map,pta_auar_microfactory_masterbuilder_can47203102,not_stage_specific,task_mapping,MicroFactory + MasterBuilder,release_notes,https://auar.io/resources/news/auar-2025-year-in-review,2025-Q4,2026-08-19,"AI converts approved plans to production data and robots fabricate timber wall, floor, and roof panels; site installation and repair remain human.",,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_procore_ai_can47203101_map,pta_procore_ai_can47203101,not_stage_specific,task_mapping,Procore AI / Copilot,release_notes,https://www.procore.com/press/procore-launches-procore-ai-with-new-agents-to-boost-construction-management-efficiency,2024-11-20,2026-08-19,"Retrieves project information, summarizes complex documents, and surfaces project insights; construction-wide rather than carpenter-targeted.",,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_openspace_bim_plus_can47203101_map,pta_openspace_bim_plus_can47203101,not_stage_specific,task_mapping,OpenSpace BIM+,release_notes,https://www.openspace.ai/press-releases/openspace-introduces-openspace-bim-for-streamlined-field-and-vdc-team-coordination/,2024-02-01,2026-08-19,AI/computer vision aligns human-captured 360 imagery with BIM for as-built/design comparison and field coordination; construction-wide rather than carpenter-targeted.,,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_aurora_driver_freight_trk01_map,pta_aurora_driver_freight_trk01,not_stage_specific,task_mapping,Aurora Driver for Freight,release_notes,https://ir.aurora.tech/sec-filings/all-sec-filings/content/0001828108-25-000078/auroracommerciallaunchpres.htm,2025-05-01,2026-08-19,Driverless Class-8 highway freight on one defined lane with regular customer deliveries and off-vehicle operational support.,,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_kodiak_driver_trk01_map,pta_kodiak_driver_trk01,not_stage_specific,task_mapping,Kodiak Driver,release_notes,https://investors.kodiak.ai/node/6696/pdf,2024-12-18,2026-08-19,"Driverless frac-sand transport between the Dune Express and well sites in an industrial, geofenced operating domain.",,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_waabi_driver_trk01_map,pta_waabi_driver_trk01,not_stage_specific,task_mapping,Waabi Driver,release_notes,https://www.uberfreight.com/en-US/blog/uber-freight-and-waabi-introduce-industry-first-autonomous-truck-deployment-solution,2023-09-21,2026-08-19,Runs regular autonomous commercial loads through an integrated freight platform; event evidence retains human-safety-operator conditions.,,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_volvo_vnl_autonomous_trk01_map,pta_volvo_vnl_autonomous_trk01,not_stage_specific,task_mapping,Volvo VNL Autonomous powered by Aurora Driver,release_notes,https://www.volvoautonomoussolutions.com/en-en/news-and-insights/press-releases/2024/dec/volvo-begins-autonomous-operations-for-dhl-supply-chain-in-texas.html,2024-12-11,2026-08-19,Purpose-built truck plus Aurora Driver in DHL network; configuration retains a safety driver and shares system lineage with Aurora.,,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_gatik_driver_class7_trk01_map,pta_gatik_driver_class7_trk01,not_stage_specific,task_mapping,Gatik Driver / Class-7 refrigerated autonomous trucks,release_notes,https://archive.gatik.ai/news/press-releases/tyson-foods-and-gatik-to-deploy-autonomous-trucks-in-northwest-arkansas-to-optimize-supply-chain-efficiency/,2023-09-06,2026-08-19,"Runs predetermined short-haul plant-to-storage refrigerated freight, initially with a safety driver.",,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_einride_autonomous_faas_trk01_map,pta_einride_autonomous_faas_trk01,not_stage_specific,task_mapping,Einride autonomous vehicle / Freight Capacity as a Service,release_notes,https://www.einride.tech/press/first-fulltime-autonomous-operations,2023-11-13,2026-08-19,"Unmanned factory-to-warehouse fixed route with a remote-operations ecosystem, up to seven shuttles per day.",,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_intuit_turbotax_assist_acc04_map,pta_intuit_turbotax_assist_acc04,not_stage_specific,task_mapping,TurboTax + Intuit Assist,release_notes,https://investors.intuit.com/news-events/press-releases/detail/43/introducing-intuit-assist-the-generative-ai-powered-financial-assistant-for-small-businesses-and-consumers,2023-09-06,2026-08-19,Consumer-facing generative-AI tax preparation and filing support directly overlaps ACC-04; it is labeled customer_self_service rather than excluded for not targeting accountants.,,unclear,P2_official_workflow_evidence,FALSE,FALSE,codex_assisted_first_wave,2026-08-19
pde_pta_intuit_quickbooks_online_acc01_acquire_01,pta_intuit_quickbooks_online_acc01,acquire,stage_authority,"QuickBooks Online Plus/Advanced or Intuit Enterprise Suite (U.S.), current Accounting AI with connected bank transactions and auto-post enabled for supported Intuit Payroll and QuickBooks Bill Pay matches, as of 2026-08-19",manual,https://quickbooks.intuit.com/learn-support/en-us/help-article/bank-transactions/accounting-agent-features/L6pl9rv94_US_en_US,2026-08-18,2026-08-19,Accounting AI operates on connected bank transactions and automatically matches and posts supported Intuit Payroll and QuickBooks Bill Pay activity; eligible items appear afterward in the Posted tab with AUTO or RULE badges.,4,none,P1_governing_documentation,FALSE,TRUE,codex_assisted_calibration,2026-08-19
pde_pta_intuit_quickbooks_online_acc01_interpret_01,pta_intuit_quickbooks_online_acc01,interpret,stage_authority,"QuickBooks Online Plus/Advanced or Intuit Enterprise Suite (U.S.), current Accounting AI with connected bank transactions and auto-post enabled for supported Intuit Payroll and QuickBooks Bill Pay matches, as of 2026-08-19",manual,https://quickbooks.intuit.com/learn-support/en-us/help-article/bank-transactions/accounting-agent-features/L6pl9rv94_US_en_US,2026-08-18,2026-08-19,The product identifies the supported payroll or Bill Pay transaction match and distinguishes auto-posted work from suggestions requiring attention.,4,none,P1_governing_documentation,FALSE,TRUE,codex_assisted_calibration,2026-08-19
pde_pta_intuit_quickbooks_online_acc01_decide_01,pta_intuit_quickbooks_online_acc01,decide,stage_authority,"QuickBooks Online Plus/Advanced or Intuit Enterprise Suite (U.S.), current Accounting AI with connected bank transactions and auto-post enabled for supported Intuit Payroll and QuickBooks Bill Pay matches, as of 2026-08-19",manual,https://quickbooks.intuit.com/learn-support/en-us/help-article/bank-transactions/accounting-agent-features/L6pl9rv94_US_en_US,2026-08-18,2026-08-19,"For the enumerated supported transaction types, Accounting AI selects auto-post rather than placing the item in the ready-to-post review queue.",4,none,P1_governing_documentation,FALSE,TRUE,codex_assisted_calibration,2026-08-19
pde_pta_intuit_quickbooks_online_acc01_act_01,pta_intuit_quickbooks_online_acc01,act,stage_authority,"QuickBooks Online Plus/Advanced or Intuit Enterprise Suite (U.S.), current Accounting AI with connected bank transactions and auto-post enabled for supported Intuit Payroll and QuickBooks Bill Pay matches, as of 2026-08-19",manual,https://quickbooks.intuit.com/learn-support/en-us/help-article/bank-transactions/accounting-agent-features/L6pl9rv94_US_en_US,2026-08-18,2026-08-19,Accounting AI matches or posts the enumerated transactions automatically and shows completed work afterward in the Posted tab with AUTO/RULE badges.,4,none,P1_governing_documentation,FALSE,TRUE,codex_assisted_calibration,2026-08-19
pde_pta_intuit_quickbooks_online_acc01_act_02,pta_intuit_quickbooks_online_acc01,act,human_gate,"QuickBooks Online Plus/Advanced or Intuit Enterprise Suite (U.S.), current Accounting AI with connected bank transactions and auto-post enabled for supported Intuit Payroll and QuickBooks Bill Pay matches, as of 2026-08-19",manual,https://quickbooks.intuit.com/learn-support/en-us/help-article/credit/automate-month-end-close-intuit-intelligence/L5aBTt9DL_US_en_US,2026-08-03,2026-08-19,"Books Close automation drafts broader posting, write-off, depreciation and amortization actions; nothing posts until approval and the system does not mark close tasks complete. This limits the 4 to the narrower Accounting AI auto-post path.",4,routine_review_or_approval,P1_governing_documentation,FALSE,TRUE,codex_assisted_calibration,2026-08-19
pde_pta_intuit_quickbooks_online_acc03_acquire_01,pta_intuit_quickbooks_online_acc03,acquire,stage_authority,"QuickBooks Online Advanced (U.S.) with current Intuit Intelligence 12-month forecasting, scenario analysis, and forecast-to-budget option, as of 2026-08-19",manual,https://quickbooks.intuit.com/learn-support/en-us/help-article/tasks/forecast-financial-performance-intuit-intelligence/L7o5sk5t2_US_en_US,2026-08-03,2026-08-19,Intuit Intelligence directly reviews at least two years of historical QuickBooks data after the user initiates the forecast; no manual transfer is required within the supported connected-data case.,4,none,P1_governing_documentation,FALSE,TRUE,codex_assisted_calibration,2026-08-19
pde_pta_intuit_quickbooks_online_acc03_interpret_01,pta_intuit_quickbooks_online_acc03,interpret,stage_authority,"QuickBooks Online Advanced (U.S.) with current Intuit Intelligence 12-month forecasting, scenario analysis, and forecast-to-budget option, as of 2026-08-19",manual,https://quickbooks.intuit.com/learn-support/en-us/help-article/tasks/forecast-financial-performance-intuit-intelligence/L7o5sk5t2_US_en_US,2026-08-03,2026-08-19,"The feature projects 12-month income, expenses and cash flow and returns scenario comparisons directly in the chat panel; review is advised before a later business decision, not before the analytical output appears.",4,none,P1_governing_documentation,FALSE,TRUE,codex_assisted_calibration,2026-08-19
pde_pta_intuit_quickbooks_online_acc03_decide_01,pta_intuit_quickbooks_online_acc03,decide,stage_authority,"QuickBooks Online Advanced (U.S.) with current Intuit Intelligence 12-month forecasting, scenario analysis, and forecast-to-budget option, as of 2026-08-19",manual,https://quickbooks.intuit.com/learn-support/en-us/help-article/tasks/forecast-financial-performance-intuit-intelligence/L7o5sk5t2_US_en_US,2026-08-03,2026-08-19,"Users adjust assumptions, compare models, refine the plan, review scenarios and use them before they decide; the product materially supports but does not make the managerial decision.",2,human_materially_completes,P1_governing_documentation,FALSE,TRUE,codex_assisted_calibration,2026-08-19
pde_pta_intuit_quickbooks_online_acc03_act_01,pta_intuit_quickbooks_online_acc03,act,stage_authority,"QuickBooks Online Advanced (U.S.) with current Intuit Intelligence 12-month forecasting, scenario analysis, and forecast-to-budget option, as of 2026-08-19",manual,https://quickbooks.intuit.com/learn-support/en-us/help-article/tasks/forecast-financial-performance-intuit-intelligence/L7o5sk5t2_US_en_US,2026-08-03,2026-08-19,"The product generates the 12-month forecast as a ready analytical artifact and, in QuickBooks Online Advanced, offers direct conversion of the finished forecast to a trackable budget.",4,none,P1_governing_documentation,FALSE,TRUE,codex_assisted_calibration,2026-08-19
