occupation_soc_code,occupation_name,job_role_name,industry_group,job_role_definition,bls_soc_code,employment_count,employment_count_reference_year,median_wage,median_wage_reference_year,education_most_common_level,education_data_date,acquire_scope,interpret_scope,decide_scope,act_scope,acquire_weight,interpret_weight,decide_weight,act_weight,acquire_rating,interpret_rating,decide_rating,act_rating,overall_ai_capability_rating,product_with_highest_autonomy_rating,gap_between_highest_and_capability,average_autonomy_all_products,gap_between_average_and_capability,median_autonomy_all_products,gap_between_median_and_capability,total_products,acquire_confidence,interpret_confidence,decide_confidence,act_confidence,review_flag,employment_rank,top_200_employment_occupation
43-4011.00,Brokerage Clerks,Brokerage Clerks,"Finance, Insurance, Real Estate, & Leasing","Process and maintain securities transactions, account records, and related customer servicing for brokerage operations.",43-4011,40800,2024,65750,2025,Bachelor's Degree,2014-07-01,"Receive customer transaction requests and inquiries and retrieve account, ownership, transaction, dividend-instruction, market-price, and regulatory-record inputs.","Verify transaction and ownership details, calculate account holdings, payments, fees, and price fluctuations, and identify account issues or collateral needs.","Determine the appropriate disposition of account problems, collateral requirements, and the timing and routing of certificate transfers and deliveries.","Process and document securities transactions, prepare transaction and transfer records, coordinate certificate movement, allocate customer payments, produce account reports, and provide customer service.",20,22,13,45,3.9,3.0,2.7,3.0,3.141,1.0,2.141,0.807,2.334,0.87,2.271,3,3.0,2.9,2.1,2.1,False,457,False
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Brownfield Redevelopment Specialists and Site Managers,Professional & Business Services,"Plan and direct the assessment, cleanup, remediation, and sustainable reuse of contaminated non-Superfund properties.",11-9199,1333700,2024,141900,2025,Bachelor's Degree,2021-08-01,"Inspect sites and assemble contamination, site-condition, cleanup-progress, regulatory, technical, cost, risk, feasibility, funding, and reuse inputs needed to plan and manage redevelopment.","Characterize contamination and environmental damage, quantify health and environmental risks, and evaluate the feasibility, costs, benefits, and technical adequacy of cleanup and reuse options.","Select compliant remediation, demolition, waste-disposal, restoration, sustainable-regeneration, and reuse plans and determine project priorities, funding strategies, permitting approaches, contractors, and materials.","Secure funding, permits, services, and materials; direct and coordinate cleanup, disposal, demolition, remediation, restoration, revegetation, and sustainable reuse; and document and communicate project status and results.",20,25,27,28,2.8,2.6,2.1,2.0,2.337,1.25,1.087,1.23,1.107,1.25,1.087,4,2.9,2.4,2.9,3.0,False,28,True
13-2031.00,Budget Analysts,Budget Analysts,"Finance, Insurance, Real Estate, & Leasing","Analyze, prepare, and oversee budgets to support the allocation and control of organizational financial resources.",13-2031,50400,2024,91640,2025,Bachelor's Degree,2024-08-01,"Compile budget estimates, accounting records, expenditure reports, program requirements, directives, and financial requests needed to prepare and oversee organizational budgets.","Analyze expenditure controls, budget trends, resource requirements, estimate completeness and compliance, program costs and benefits, financing alternatives, and the implications of budget directives.","Formulate funding recommendations, allocation priorities, budget adjustments, and policies for carrying out budget directives.","Prepare, direct, communicate, and oversee budgets and budget reports, provide budget and cost-analysis assistance, and present proposed budgets to funding authorities.",25,30,25,20,3.1,3.0,2.4,2.6,2.795,2.0,0.795,1.638,1.158,1.6,1.195,8,3.0,3.0,2.9,2.3,False,415,False
37-2019.00,"Building Cleaning Workers, All Other","Building Cleaning Workers, All Other",Professional & Business Services,Perform building-cleaning work not classified within a more specific building-cleaning occupation.,37-2019,18100,2024,44040,2025,,,"Obtain cleaning supplies, equipment, and access to the building areas requiring service.","Assess area conditions to identify cleaning needs, contamination, and hazards.",Set the cleaning sequence and select suitable methods and materials for the conditions.,Perform the building-cleaning work needed to restore and maintain acceptable area conditions.,15,10,10,65,2.9,2.7,3.0,2.0,2.305,0.85,1.455,0.85,1.455,0.85,1.455,3,2.3,2.5,2.5,2.9,False,616,False
53-3051.00,"Bus Drivers, School","Bus Drivers, School",Transportation & Warehousing,Transport students safely and reliably by operating school buses on scheduled routes and activities.,53-3051,387300,2024,47920,2025,"High School Diploma - or the equivalent (for example, GED)",2025-08-01,"Inspect the bus and safety equipment, obtain route and schedule directions, and monitor traffic, road, vehicle, and student conditions.","Assess vehicle readiness, route progress, and changing roadway and student-safety conditions to identify hazards or deviations.","Choose safe routing, speed, stopping, passenger-management, and incident-response actions within traffic and school-bus safety requirements.","Operate the bus to pick up, transport, and drop off students on schedule while carrying out boarding, crossing, and in-transit safety procedures and reporting safety-critical disruptions.",15,25,15,45,3.4,2.9,2.7,2.4,2.72,1.4,1.32,1.28,1.44,1.25,1.47,5,2.7,2.7,2.3,2.6,False,107,True
53-3052.00,"Bus Drivers, Transit and Intercity","Bus Drivers, Transit and Intercity",Transportation & Warehousing,Operate buses or motor coaches to transport passengers safely on scheduled routes or to specified destinations.,53-3052,158800,2024,59050,2025,"High School Diploma - or the equivalent (for example, GED)",2018-08-01,"Inspect the vehicle and obtain route, schedule, fare, passenger, baggage, traffic, and operating-condition information needed to provide the trip.","Assess vehicle readiness, route conditions, passenger needs and conduct, and emerging emergencies or disruptions to understand their effect on safe transport.","Choose driving adjustments, routing and stop handling, passenger assistance, comfort settings, and incident responses that maintain a safe, orderly service.","Operate and position the bus on scheduled routes or to specified destinations; board, assist, inform, and collect fares from passengers; handle baggage and disruptions; maintain passenger comfort, vehicle cleanliness, and required trip records and reports.",12,18,15,55,3.3,2.8,2.8,2.2,2.53,1.45,1.08,1.27,1.26,1.18,1.35,3,2.9,2.7,2.5,3.0,False,214,False
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,Bus and Truck Mechanic,Transportation & Warehousing,"Diagnose, maintain, repair, and overhaul buses and trucks and their mechanical, electrical, safety, and emissions systems.",49-3031,319900,2024,61770,2025,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",2022-08-01,"Inspect vehicle systems and components; test-drive vehicles; and obtain diagnostic readings, measurements, clearances, and emissions data using appropriate instruments.","Evaluate inspection, test, measurement, and operating evidence to identify malfunctions and determine conformance with operating, safety, and emissions specifications.","Select the necessary maintenance, adjustment, repair, replacement, rewiring, alignment, or overhaul work to restore the affected vehicle systems.","Perform routine maintenance and physically adjust, repair, rebuild, recondition, replace, rewire, align, install, and overhaul bus and truck mechanical, electrical, safety, heating and cooling, and emissions systems.",18,15,12,55,2.3,3.0,3.0,2.0,2.324,1.27,1.054,1.246,1.078,1.27,1.054,5,2.8,2.6,2.2,3.0,False,130,True
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,Diesel Engine Specialist,Transportation & Warehousing,"Diagnose, maintain, repair, and rebuild diesel engines and their fuel, combustion, emissions, and related mechanical components.",49-3031,319900,2024,61770,2025,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",2022-08-01,"Inspect, test, listen to, and measure diesel engines, fuel, combustion, emissions, and related mechanical components to obtain condition, fault, clearance, and emissions inputs.","Determine malfunctions, component condition, specification conformance, and emissions acceptability from inspection and test results.","Select the maintenance, adjustment, repair, replacement, overhaul, or rebuild work needed to restore compliant engine operation.","Perform preventive maintenance and safely adjust, repair, recondition, replace, overhaul, rebuild, and verify diesel-engine, fuel, combustion, emissions, and related mechanical components, including alternative-fuel systems.",20,20,10,50,2.5,3.0,3.0,1.9,2.35,1.3,1.05,1.3,1.05,1.3,1.05,4,3.0,2.5,2.0,3.0,False,130,True
13-1199.04,Business Continuity Planners,Business Continuity Planners,Professional & Business Services,"Develop, maintain, test, and coordinate strategies and plans that enable organizations to continue or restore critical operations during and after disruptions.",13-1199,1205700,2024,83050,2025,Bachelor's Degree,2025-08-01,"Gather organizational, operational, system, regulatory, resource, and threat inputs and generate evidence from continuity and recovery tests needed to evaluate disruption risks and recovery requirements.","Assess business-function impacts, recovery needs, test outcomes, plan adequacy, threat indicators, and applicable requirements to establish continuity findings.","Select recovery objectives, resource and budget priorities, mitigation measures, disruption scenarios, and continuity approaches.","Develop, update, document, integrate, and coordinate continuity and disaster-recovery plans, communications, training, mitigation measures, monitoring methods, and recovery arrangements.",23,25,17,35,3.0,3.0,2.0,2.3,2.585,2.0,0.585,1.943,0.642,2.0,0.585,3,2.9,2.6,3.0,2.6,False,33,True
15-2051.01,Business Intelligence Analysts,Business Intelligence Analysts,Information & Tech Platforms,"Produce and deliver business intelligence through data analysis, reporting, dashboards, and trend-based recommendations.",15-2051,245900,2024,120230,2025,Bachelor's Degree,2024-08-01,"Collect business, financial, market, customer, competitive, industry, geographic, and technology data from available sources and gather reporting needs and feedback.","Analyze and synthesize data to identify trends, market and customer patterns, competitive strategies, and findings relevant to business strategy.","Determine reporting-solution designs, information priorities, and trend-based recommendations for action.","Create, test, maintain, support, and distribute reports, dashboards, databases, and related intelligence outputs so users receive timely, reliable business intelligence.",18,29,12,41,3.0,3.0,2.5,3.0,2.94,2.0,0.94,1.72,1.22,1.7,1.24,6,2.9,3.0,2.5,2.4,False,153,True
13-1199.00,"Business Operations Specialists, All Other","Business Operations Specialists, All Other",Professional & Business Services,Perform business operations specialist work not classified in a more specific occupation.,13-1199,1205700,2024,83050,2025,,,"Obtain the operational information, materials, and inputs required for the particular business operations assignment.",Assess assignment-specific operational inputs to determine their business relevance and implications.,"Select the priorities, recommendations, or course of action required by the assignment.",Carry out the assigned business operations work and deliver its specified result.,25,25,25,25,3.0,2.9,2.3,2.6,2.7,,,,,,,0,2.4,2.4,2.5,2.0,True,33,True
25-1011.00,"Business Teachers, Postsecondary","Business Teachers, Postsecondary",Government & Public Sector,"Teach postsecondary business courses while supporting student learning and, where assigned, contributing to academic research and service.",25-1011,103100,2024,99080,2025,Doctoral Degree,2019-08-01,"Gather current business knowledge, instructional resources, student work and progress information, research evidence, and relevant program or institutional inputs.","Assess student learning, instructional needs, business scholarship, and academic or program issues to form findings and feedback.","Set course content, instructional and assessment approaches, student guidance, research directions, and assigned academic-service priorities.","Teach and facilitate business courses, deliver student evaluations and advising, maintain required learning records and resources, conduct and disseminate research where assigned, and carry out academic service.",18,22,18,42,3.8,3.0,2.3,2.1,2.64,2.0,0.64,1.928,0.712,2.0,0.64,5,2.9,2.7,2.8,2.7,False,285,False
51-3021.00,Butchers and Meat Cutters,Butchers and Meat Cutters,Manufacturing,"Cut, prepare, package, and merchandise consumer-sized meat products for retail sale.",51-3021,143100,2024,40140,2025,"High School Diploma - or the equivalent (for example, GED)",2016-07-01,"Receive, inspect, store, and track meat supplies, customer specifications, inventory levels, and product-order inputs needed for retail preparation.","Assess meat quality, inventory needs, and customer requirements to determine suitable handling, preparation, and supply needs.","Select meat supply orders and determine product preparation, preservation, pricing, and display arrangements for retail sale.","Cut, trim, bone, grind, shape, preserve, package, weigh, label, price, and merchandise consumer-sized meat products, including special customer cuts.",20,10,15,55,3.5,3.0,3.4,2.0,2.61,1.8,0.81,1.313,1.298,1.45,1.16,4,2.7,2.2,2.0,3.0,False,232,False
13-1021.00,"Buyers and Purchasing Agents, Farm Products","Buyers and Purchasing Agents, Farm Products",Wholesale & Retail Trade,"Purchase farm products for processing or resale and manage the related commercial, logistical, assessment, and producer-support activities.",13-1020,522200,2024,77710,2025,Bachelor's Degree,2013-07-01,"Obtain demand, inventory, farm-property, and production-condition information and inspect or test crops and products for purchasing and producer-support work.","Assess product grade, value, damage or disease, land production potential, and applicable grain quotas from the obtained information.","Determine required product types and quantities, purchasing and contract terms, product disposition and logistics, and producer recommendations, supplies, or financing arrangements.","Purchase farm products, negotiate and conclude agreements, arrange or direct product processing, resale, transportation, and storage, maintain required commercial and inventory records, and provide producer advice, sell supplies, and arrange financing.",28,20,23,29,2.9,3.0,2.2,2.1,2.527,2.0,0.527,1.512,1.015,1.475,1.052,6,2.9,2.8,2.6,2.8,False,74,True
51-7011.00,Cabinetmakers and Bench Carpenters,Cabinetmakers and Bench Carpenters,Manufacturing,"Fabricate, assemble, fit, finish, and repair wooden cabinetry, furniture, fixtures, and related products using hand tools and woodworking machinery.",51-7011,86000,2024,46680,2025,"High School Diploma - or the equivalent (for example, GED)",2015-07-01,"Obtain project instructions and blueprints, select suitable wood and surfacing materials, measure and mark stock or existing pieces, and inspect dimensions, quality, and fit.","Translate instructions, measurements, material characteristics, and inspection observations into requirements and conformity findings for fabrication or repair.","Determine construction or repair specifications, required materials, and the shaping, finishing, and assembly sequence.","Cut, machine, shape, assemble, reinforce, fit, surface, finish, install hardware on, and repair wooden cabinetry, furniture, fixtures, and related products.",15,15,10,60,3.2,3.4,2.9,2.0,2.48,1.25,1.23,1.1,1.38,1.1,1.38,5,2.7,2.5,2.0,3.0,False,322,False
17-3028.00,Calibration Technologists and Technicians,Calibration Technologists and Technicians,Manufacturing,"Calibrate, test, and maintain measurement devices and related equipment to ensure accuracy and conformance with established standards.",17-3028,15800,2024,67820,2025,,,"Obtain equipment specifications, standards, and technical drawings, and conduct inspections, calibration tests, and precision measurements to gather condition, performance, and conformance evidence.","Analyze measurement, inspection, and test evidence to determine equipment performance, reliability, defects, dimensional conformance, and calibration requirements.","Design or select calibration methods, test sequences, fixtures, adjustments, maintenance, repairs, and other corrective measures based on requirements and findings.","Implement selected calibration adjustments, fabricate needed fixtures, maintain or repair measurement devices and calibration equipment, reassemble serviced equipment, and report conformance findings.",25,20,15,40,2.8,3.3,2.8,2.0,2.58,1.05,1.53,0.925,1.655,0.925,1.655,2,2.6,2.7,2.2,2.9,False,636,False
27-4031.00,"Camera Operators, Television, Video, and Film","Camera Operators, Television, Video, and Film",Information & Tech Platforms,"Operate and position cameras to record composed images and scenes for television, video, and film productions.",27-4031,36400,2024,74990,2025,Associate's Degree (or other 2-year degree),2019-08-01,"Obtain production instructions and rehearsal cues, assess locations and lighting conditions, and prepare, test, and configure the cameras, mounts, lenses, and related equipment required for recording.","Translate production requirements, scene conditions, and observed image results into the visual and technical requirements for each shot.","Select shot framing, camera position and movement, lens and exposure settings, and filming sequence adjustments needed to achieve the intended effects.","Position and operate cameras and mounted or zoom equipment, make real-time focus, exposure, lighting, and movement adjustments, and record composed scenes and live shots.",10,15,20,55,2.7,3.0,2.9,2.5,2.675,1.7,0.975,1.7,0.975,1.7,0.975,4,2.5,2.3,2.2,2.4,False,478,False
49-9061.00,Camera and Photographic Equipment Repairers,Camera and Photographic Equipment Repairers,Manufacturing,"Repair, adjust, calibrate, test, and restore cameras and related photographic equipment to proper operating condition.",49-9061,2300,2024,52720,2025,"High School Diploma - or the equivalent (for example, GED)",2015-07-01,"Inspect equipment and technical documentation, measure and test performance and settings, and obtain the parts and materials needed for restoration.","Diagnose malfunctions and assess component condition and performance against specifications using inspection, measurement, and test results.","Select the repair requirements, operating sequence, and adjustment, calibration, replacement, or component-fabrication approach needed to restore proper operation.","Disassemble, clean, lubricate, fabricate or modify components, install and assemble parts and wiring, adjust mechanisms, calibrate systems, and restore the equipment to proper operating condition.",20,12,8,60,3.3,3.0,3.0,2.0,2.46,1.08,1.38,0.8,1.66,0.8,1.66,2,2.1,2.1,2.0,3.0,False,815,False
53-5021.00,"Captains, Mates, and Pilots of Water Vessels",Marine Pilot,Transportation & Warehousing,"Provides specialized local navigational guidance for moving and docking vessels safely through ports, harbors, and restricted waters.",53-5021,40700,2024,92460,2025,"High School Diploma - or the equivalent (for example, GED)",2022-08-01,"Obtain local chart, weather, tide, current, depth, hazard, vessel-position, and traffic information, including operational updates exchanged with ship and shore personnel.","Assess the vessel’s position, available water, environmental conditions, traffic, navigational aids, and local harbor requirements to determine safe maneuvering constraints.","Select safe courses, speeds, passing arrangements, docking or undocking maneuvers, and interventions needed to prevent unsafe vessel operations.","Direct and, when required, operate vessel movements through restricted waters and berthing areas, communicate maneuvering instructions and signals, advise masters on local procedures, and assist with maritime rescue operations.",22,23,30,25,3.5,2.8,2.3,2.0,2.604,1.78,0.824,1.404,1.2,1.23,1.374,5,3.0,2.5,2.7,3.0,False,458,False
53-5021.00,"Captains, Mates, and Pilots of Water Vessels",Mate,Transportation & Warehousing,"Serves as a deck officer responsible for navigational watches and assigned deck, cargo, maintenance, and safety operations.",53-5021,40700,2024,92460,2025,"High School Diploma - or the equivalent (for example, GED)",2022-08-01,"Gather navigational, weather, water-depth, communication, cargo-handling, and vessel and equipment condition information through monitoring, measurement, and inspection during watches and assigned operations.","Assess navigational conditions, vessel and equipment readiness, regulatory conformance, cargo-handling status, and safety risks from observations, charts, instruments, inspections, and reports.","Determine safe vessel movements, watch responses, operating priorities, crew directions, and corrective or emergency actions for navigation and assigned operations.","Execute vessel movements and maneuvers, issue operational communications and signals, coordinate crew, cargo, and maintenance work, maintain assigned equipment, conduct safety drills, assist rescue operations, and record vessel operations.",25,20,20,35,2.9,2.6,2.2,2.0,2.385,2.0,0.385,1.6,0.785,1.65,0.735,5,2.9,2.6,2.8,3.0,False,458,False
53-5021.00,"Captains, Mates, and Pilots of Water Vessels",Vessel Captain or Master,Transportation & Warehousing,"Commands a vessel and holds overall responsibility for its safe, lawful, and efficient operation, crew, and voyage.",53-5021,40700,2024,92460,2025,"High School Diploma - or the equivalent (for example, GED)",2022-08-01,"Gather navigational, weather, tide, current, depth, traffic, equipment-status, cargo-handling, supply, crew, and regulatory-condition inputs through charts, instruments, inspections, watches, and operational communications.","Assess those inputs to determine navigational position and hazards, vessel readiness, safe and compliant operating conditions, cargo-handling conformance, and emerging emergencies or pollution concerns.","Select routes, courses, speeds, maneuvers, docking or towing actions, safety interventions, voyage provisions, maintenance or repair needs, and crew assignments or priorities for safe, lawful, efficient operation.","Command and maneuver the vessel; direct and signal crew and other vessels; coordinate docking, cargo, maintenance, drills, rescue, and onboard operations; and complete required operational communications, reports, and records.",20,25,25,30,3.2,3.0,2.3,2.1,2.595,2.0,0.595,1.71,0.885,1.7,0.895,5,2.8,2.7,2.7,2.9,False,458,False
29-1212.00,Cardiologists,Cardiac Electrophysiologist,Healthcare & Social Assistance,Diagnoses and treats cardiac rhythm disorders using electrical cardiac assessment and implanted rhythm-management devices.,29-1212,19400,2024,496010,2025,,,Conduct and obtain electrical and other cardiovascular test recordings needed to evaluate cardiac rhythm disorders.,Analyze cardiac activity recordings to determine the presence and nature of rhythm disorders.,Select the appropriate rhythm-management treatment and implanted-device plan.,"Treat rhythm disorders by performing minimally invasive implantation of pacemakers, defibrillators, or other indicated rhythm-management devices.",20,25,15,40,2.7,3.0,2.0,2.0,2.39,1.45,0.94,1.16,1.23,1.05,1.34,5,2.5,2.5,2.8,2.8,False,602,False
29-1212.00,Cardiologists,General and Noninvasive Cardiologist,Healthcare & Social Assistance,"Diagnoses, medically treats, and monitors cardiovascular conditions using clinical evaluation and noninvasive cardiac testing.",29-1212,19400,2024,496010,2025,,,"Obtain patient histories, examinations, records, consultations, and noninvasive cardiovascular and pulmonary test measurements, including follow-up condition data.","Analyze clinical findings and cardiac test results to identify cardiovascular abnormalities, calculate relevant measures, diagnose conditions, and assess treatment progress.","Select diagnostic testing, treatment and monitoring plans, medication therapy, preventive guidance, and referral or surgical recommendations based on the assessment.","Deliver cardiovascular care by providing emergency cardiac treatment, carrying out the chosen medical management, and explaining procedures, results, treatments, and health guidance to patients.",25,30,25,20,2.1,3.0,2.1,1.6,2.27,1.55,0.72,1.29,0.98,1.25,1.02,5,3.0,2.6,2.9,3.0,False,602,False
29-1212.00,Cardiologists,Interventional Cardiologist,Healthcare & Social Assistance,Diagnoses and treats cardiovascular disease through catheter-based imaging and vascular interventions.,29-1212,19400,2024,496010,2025,,,Obtain catheter-based cardiovascular imaging inputs by administering contrast media and operating diagnostic imaging equipment.,Assess catheterization and contrast-enhanced cardiovascular images to diagnose cardiovascular disease.,Select the appropriate catheter-based vascular intervention or emergency cardiac treatment course based on the diagnostic assessment.,"Deliver emergency cardiac care and perform catheter-based vascular interventions, including balloon angioplasty and stent placement.",20,25,15,40,2.8,3.0,2.1,2.0,2.425,1.6,0.825,1.225,1.2,1.225,1.2,4,2.6,2.7,2.8,3.0,False,602,False
29-2031.00,Cardiovascular Technologists and Technicians,Invasive Cardiovascular Technologist,Healthcare & Social Assistance,Assists physicians with catheter-based cardiovascular diagnostic and therapeutic procedures while monitoring patients and maintaining procedural safety.,29-2031,64700,2024,74310,2025,Associate's Degree (or other 2-year degree),2014-07-01,"Obtain patient identification, history, prior results, and continuous physiologic, imaging, and equipment-status inputs needed for catheter-based cardiovascular procedures.","Assess monitored physiologic responses, comfort, safety conditions, and procedural displays to recognize abnormalities or changes requiring attention.",Select protocol- or physician-directed equipment settings and promptly determine when abnormal patient or procedural conditions warrant notifying the physician.,"Prepare and position patients, maintain sterile and functioning procedural equipment, operate cardiovascular imaging equipment, administer contrast, and assist physicians during diagnostic and therapeutic catheter-based procedures.",18,20,12,50,4.0,3.0,3.0,2.0,2.68,1.7,0.98,1.35,1.33,1.35,1.33,2,2.8,2.8,2.5,3.0,False,377,False
29-2031.00,Cardiovascular Technologists and Technicians,Noninvasive Cardiovascular Technologist,Healthcare & Social Assistance,Performs noninvasive cardiac and vascular diagnostic testing and records findings for physician interpretation.,29-2031,64700,2024,74310,2025,Associate's Degree (or other 2-year degree),2014-07-01,"Obtain patient history and identification, prepare and position patients, ready and maintain equipment, and generate cardiac and vascular test recordings and measurements while monitoring patient status.","Assess recorded waveforms, images, signals, and measurements against relevant norms to identify abnormalities and derive cardiac or vascular findings.",Select protocol-consistent equipment settings and determine when observed patient changes or abnormalities require physician notification.,"Explain procedures, maintain patient comfort and safety during testing, and document, transcribe, and communicate completed diagnostic findings for physician interpretation.",55,22,8,15,2.0,3.0,2.9,2.0,2.292,1.37,0.922,1.195,1.097,1.37,0.922,4,3.0,2.9,2.2,3.0,False,377,False
25-2023.00,"Career/Technical Education Teachers, Middle School","Career/Technical Education Teachers, Middle School",Government & Public Sector,"Teach career and technical subjects to middle school students while managing instruction, assessment, student support, and related school responsibilities.",25-2023,14000,2024,65030,2025,Bachelor's Degree,2018-08-01,"Assemble curriculum-aligned objectives, instructional materials, equipment and accommodations, and gather evidence on students’ learning, behavior, development, and needs through observation, assessments, and consultation.","Evaluate student evidence and feedback to determine progress, academic or behavioral needs, interests, and appropriate levels of support.","Select lesson and activity plans, instructional adaptations, assessment and intervention approaches, safety and classroom procedures, and student-support priorities within curriculum requirements.","Teach and supervise career and technical learning activities, maintain a safe and orderly classroom, implement accommodations and remedial support, communicate with students and families, and complete required student documentation and reports.",20,18,20,42,2.8,2.5,2.4,2.0,2.33,1.58,0.75,1.344,0.986,1.2,1.13,5,2.9,2.8,2.7,3.0,False,667,False
25-1194.00,"Career/Technical Education Teachers, Postsecondary","Career/Technical Education Teachers, Postsecondary",Government & Public Sector,"Teach postsecondary vocational courses that develop students’ occupational knowledge, practical skills, and career readiness.",25-1194,122200,2024,63820,2025,Associate's Degree (or other 2-year degree),2019-08-01,"Gather evidence of students’ prior needs, progress, and performance; keep current in the vocational field; and obtain, prepare, maintain, and repair the instructional materials, tools, equipment, and workplace-learning inputs needed for courses.","Assess student work, test results, observed performance, and training outcomes to determine competency, learning needs, and areas for improvement.","Set occupational and integrated academic learning goals, curricula, schedules, instructional methods, assessments, individualized support, practical-training arrangements, and course or career guidance.","Teach, demonstrate, discuss, supervise safe hands-on and workplace-based learning, administer assessments, provide feedback and individualized instruction, and advise students to build occupational knowledge, practical skills, and career readiness.",18,17,18,47,2.0,2.9,2.8,2.0,2.297,1.47,0.827,1.208,1.09,1.17,1.127,8,2.9,2.7,2.3,3.0,False,263,False
25-2032.00,"Career/Technical Education Teachers, Secondary School","Career/Technical Education Teachers, Secondary School",Government & Public Sector,Teach secondary school students the occupational knowledge and practical skills required for specific career and technical fields.,25-2032,103400,2024,66270,2025,Bachelor's Degree,2025-08-01,"Assemble curriculum requirements, occupational-field updates, instructional resources and equipment, and evidence about students' learning needs and progress.","Evaluate student performance, behavior, and learning evidence to determine understanding, skill development, and barriers to participation.","Set course and lesson objectives and select instructional, safety, experiential-learning, accommodation, and remedial approaches suited to students' needs.","Deliver and supervise safe, structured occupational instruction, demonstrations, practice, laboratory, shop, field, and work-experience activities while guiding students' career and learning development.",13,15,17,55,3.5,2.5,2.4,2.0,2.338,1.17,1.168,1.17,1.168,1.17,1.168,8,2.8,2.8,2.7,3.0,False,284,False
43-5011.00,Cargo and Freight Agents,Cargo and Freight Agents,Transportation & Warehousing,"Expedite, document, route, and coordinate the movement and delivery of cargo and freight shipments.",43-5011,100600,2024,52260,2025,Bachelor's Degree,2021-08-01,"Obtain shipment requests, cargo specifications, weights, costs, invoices, import or export records, location and delivery-status information, and the materials needed to prepare and handle freight.","Verify received cargo and documentation, classify goods for tariff purposes, estimate applicable charges, and assess shipment progress, discrepancies, damage, losses, and delivery issues.","Select transportation, routing, storage or flight allocation, payment, insurance, delivery, and corrective-handling arrangements for each shipment.","Arrange and expedite transport; create, enter, transmit, and maintain shipping records and documents; coordinate packing, labeling, loading, unloading, storage, and delivery; and communicate arrivals and resolve shipment problems.",24,18,23,35,3.2,2.9,3.0,2.6,2.89,2.0,0.89,1.76,1.13,1.77,1.12,7,2.8,3.0,2.1,2.5,False,290,False
47-2031.00,Carpenters,Carpenters,Construction,"Constructs, installs, and repairs structural components and fixtures from wood and comparable materials according to plans, site conditions, and safety requirements.",47-2031,959000,2024,60580,2025,"High School Diploma - or the equivalent (for example, GED)",2022-08-01,"Obtain plans, site observations, structural-condition evidence, measurements, material specifications and options, and relevant hazard information.","Translate plans and measurements into required dimensions and layouts, assess structural condition and hazards, and determine whether completed work conforms to specifications, level, and plumb.","Select materials, construction or repair methods, work sequences, cuts, fastening and bracing arrangements, and corrective actions for defects or unsafe conditions.","Fabricate, erect, install, finish, and repair structural components and fixtures while verifying alignment and maintaining safe access and working conditions.",15,10,15,60,3,3,3,2,2.4,1.85,0.55,0.891,1.509,0.5,1.9,23,3,3,2,3,False,41,True
47-2041.00,Carpet Installers,Carpet Installers,Construction,"Install fitted carpet and its supporting materials to provide finished, durable floor coverings.",47-2041,20300,2024,50340,2025,"High School Diploma - or the equivalent (for example, GED)",2011-07-01,Inspect and measure floor surfaces and obtain floor-sketch details needed for fitting the carpet.,Assess surface condition and translate measurements and sketches into area and material estimates.,"Select necessary surface corrections and plan carpet layout, seam placement, and fitting allowances for appearance and wear.","Prepare and correct floor surfaces; install supporting materials and fasteners; and cut, join, fit, stretch, secure, and finish the carpet and transitions.",10,8,12,70,3.1,3.3,3.0,2.1,2.404,0.6,1.804,0.444,1.96,0.38,2.024,5,2.8,2.7,2.0,2.9,False,596,False
17-1021.00,Cartographers and Photogrammetrists,Cartographer,Professional & Business Services,"Creates, revises, and quality-checks maps and other spatial products for defined uses.",17-1021,13400,2024,81390,2025,"Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)",2018-08-01,"Compile, select, and maintain spatial source materials and digital geographic data, including survey, imagery, records, reports, maps, and boundary documentation.","Analyze spatial and legal source information to establish terrain, boundaries, accuracy, completeness, and other map-relevant findings.","Set acceptable source-material guidelines and determine the map’s content, layout, scale, projection, dimensions, colors, and production specifications for its defined use.","Create, revise, quality-check, and direct production of maps and related spatial products, applying required corrections and maintaining the underlying digital data.",20,20,20,40,3.0,2.5,3.0,3.0,2.9,2.0,0.9,1.72,1.18,1.6,1.3,5,2.8,2.8,2.1,2.8,False,672,False
