product_task_assessment_id,company_id,company_name,product_id,product_name,product_ai_release_id,product_date_assessed,product_configuration_assessed,product_task_coverage,supported_case_scope,product_task_relationship,primary_user_role,occupation_soc_code,occupation_name,canonical_task_set_version,canonical_task_id,canonical_task_name,task_scope_version,jurisdiction_code,capability_date_assessed,capability_protocol_version,acquire_product_autonomy_rating,interpret_product_autonomy_rating,decide_product_autonomy_rating,act_product_autonomy_rating,acquire_ai_capability,interpret_ai_capability,decide_ai_capability,act_ai_capability,acquire_gap,interpret_gap,decide_gap,act_gap,signoff_date_assessed,signoff_applicability_scope,acquire_formal_signoff_status,interpret_formal_signoff_status,decide_formal_signoff_status,act_formal_signoff_status,signoff_reason_codes,product_assessment_status,capability_assessment_status,signoff_assessment_status,gap_assessment_status
pta_w10w11_20260820_acc_pigment_pigment_can_11_1021_01,pigment,Pigment,pigment_prod,Pigment,,2026-08-20,"Pigment, current documented U.S. configuration as of 2026-08-20: Agentic enterprise planning platform for strategy, scenarios, forecasting, resource decisions, and cross-functional execution. Assessed mode: the highest-authority current mode actually described on the cited exact-product or workflow page; no hypothetical integration is added. Human role in this bounded mode: workers connect or supply governing records, integrate the analysis, make binding choices, and release or implement the result. Assessment retains the full frozen task and is limited to: Agentic enterprise planning platform for strategy, scenarios, forecasting, resource decisions, and cross-functional execution. This is a direct documented contribution to 'Direct and coordinate organizational strategy and operations'.",broad_task,"Agentic enterprise planning platform for strategy, scenarios, forecasting, resource decisions, and cross-functional execution. This is a direct documented contribution to 'Direct and coordinate organizational strategy and operations'.",occupation_worker_tool,Business operations and planning team,11-1021.00,General and Operations Managers,expansion-1.1-reviewed,CAN-11-1021-01,Direct and coordinate organizational strategy and operations,scope-expansion-1.1,US,2026-08-19,0.7,2,2,2,2,2,2,2,2,0,0,0,0,2026-08-19,U.S. general and operations management. Distinct role-bound endpoints such as SEC periodic-report certification by principal executive and financial officers and federal contract award by warranted contracting officers are outside this frozen general-management task; employer-specific approval policies and state or local rules require separate rows.,not_required,not_required,not_required,not_required,,calibration_draft,final,final,interpretable
pta_w10w11_20260820_acc_planful_planful_can_11_1021_01,planful,Planful,planful_prod,Planful,,2026-08-20,"Planful, current documented U.S. configuration as of 2026-08-20: AI-enabled performance-management platform for planning, forecasting, scenarios, anomaly detection, and management reporting. Assessed mode: the highest-authority current mode actually described on the cited exact-product or workflow page; no hypothetical integration is added. Human role in this bounded mode: workers connect or supply governing records, integrate the analysis, make binding choices, and release or implement the result. Assessment retains the full frozen task and is limited to: AI-enabled performance-management platform for planning, forecasting, scenarios, anomaly detection, and management reporting. This is a direct documented contribution to 'Direct and coordinate organizational strategy and operations'.",broad_task,"AI-enabled performance-management platform for planning, forecasting, scenarios, anomaly detection, and management reporting. This is a direct documented contribution to 'Direct and coordinate organizational strategy and operations'.",occupation_worker_tool,"Operations, finance, or planning leader",11-1021.00,General and Operations Managers,expansion-1.1-reviewed,CAN-11-1021-01,Direct and coordinate organizational strategy and operations,scope-expansion-1.1,US,2026-08-19,0.7,2,2,2,2,2,2,2,2,0,0,0,0,2026-08-19,U.S. general and operations management. Distinct role-bound endpoints such as SEC periodic-report certification by principal executive and financial officers and federal contract award by warranted contracting officers are outside this frozen general-management task; employer-specific approval policies and state or local rules require separate rows.,not_required,not_required,not_required,not_required,,calibration_draft,final,final,interpretable
pta_w10w11_20260820_w10_sap_sap_signavio_process_transformation_suite_can_11_1021_01,sap,SAP SE,sap_signavio_process_transformation_suite_prod,SAP Signavio Process Transformation Suite,,2026-08-20,"SAP Signavio Process Transformation Suite, current documented U.S. configuration as of 2026-08-20: AI-enabled process analysis, modeling, improvement, governance, and transformation execution. Assessed mode: the highest-authority current mode actually described on the cited exact-product or workflow page; no hypothetical integration is added. Human role in this bounded mode: workers connect or supply governing records, integrate the analysis, make binding choices, and release or implement the result. Assessment retains the full frozen task and is limited to: AI-enabled process analysis, modeling, improvement, governance, and transformation execution. This is a direct documented contribution to 'Direct and coordinate organizational strategy and operations'.",broad_task,"AI-enabled process analysis, modeling, improvement, governance, and transformation execution. This is a direct documented contribution to 'Direct and coordinate organizational strategy and operations'.",occupation_worker_tool,Operations or business-transformation team,11-1021.00,General and Operations Managers,expansion-1.1-reviewed,CAN-11-1021-01,Direct and coordinate organizational strategy and operations,scope-expansion-1.1,US,2026-08-19,0.7,2,2,2,2,2,2,2,2,0,0,0,0,2026-08-19,U.S. general and operations management. Distinct role-bound endpoints such as SEC periodic-report certification by principal executive and financial officers and federal contract award by warranted contracting officers are outside this frozen general-management task; employer-specific approval policies and state or local rules require separate rows.,not_required,not_required,not_required,not_required,,calibration_draft,final,final,interpretable
pta_w10w11_20260820_w10_smartsheet_smartsheet_ai_can_11_1021_01,smartsheet,Smartsheet,smartsheet_ai_prod,Smartsheet AI,,2026-08-20,"Smartsheet AI, current documented U.S. configuration as of 2026-08-20: AI-supported work management for portfolio analysis, summaries, formulas, reporting, risk flags, and workflow actions. Assessed mode: the highest-authority current mode actually described on the cited exact-product or workflow page; no hypothetical integration is added. Human role in this bounded mode: workers connect or supply governing records, integrate the analysis, make binding choices, and release or implement the result. Assessment retains the full frozen task and is limited to: AI-supported work management for portfolio analysis, summaries, formulas, reporting, risk flags, and workflow actions. This is a direct documented contribution to 'Direct and coordinate organizational strategy and operations'.",broad_task,"AI-supported work management for portfolio analysis, summaries, formulas, reporting, risk flags, and workflow actions. This is a direct documented contribution to 'Direct and coordinate organizational strategy and operations'.",occupation_worker_tool,"Operations, program, or administrative team",11-1021.00,General and Operations Managers,expansion-1.1-reviewed,CAN-11-1021-01,Direct and coordinate organizational strategy and operations,scope-expansion-1.1,US,2026-08-19,0.7,2,2,2,2,2,2,2,2,0,0,0,0,2026-08-19,U.S. general and operations management. Distinct role-bound endpoints such as SEC periodic-report certification by principal executive and financial officers and federal contract award by warranted contracting officers are outside this frozen general-management task; employer-specific approval policies and state or local rules require separate rows.,not_required,not_required,not_required,not_required,,calibration_draft,final,final,interpretable
pta_w10w11_20260820_w10_servicenow_strategic_portfolio_management_can_11_1021_01,servicenow,ServiceNow,strategic_portfolio_management_prod,Strategic Portfolio Management,,2026-08-20,"Strategic Portfolio Management, current documented U.S. configuration as of 2026-08-20: AI-enabled strategic portfolio management aligning goals, investments, resources, work, risks, and delivery. Assessed mode: the highest-authority current mode actually described on the cited exact-product or workflow page; no hypothetical integration is added. Human role in this bounded mode: workers connect or supply governing records, integrate the analysis, make binding choices, and release or implement the result. Assessment retains the full frozen task and is limited to: AI-enabled strategic portfolio management aligning goals, investments, resources, work, risks, and delivery. This is a direct documented contribution to 'Direct and coordinate organizational strategy and operations'.",broad_task,"AI-enabled strategic portfolio management aligning goals, investments, resources, work, risks, and delivery. This is a direct documented contribution to 'Direct and coordinate organizational strategy and operations'.",occupation_worker_tool,"Operations, strategy, or portfolio leader",11-1021.00,General and Operations Managers,expansion-1.1-reviewed,CAN-11-1021-01,Direct and coordinate organizational strategy and operations,scope-expansion-1.1,US,2026-08-19,0.7,2,2,2,2,2,2,2,2,0,0,0,0,2026-08-19,U.S. general and operations management. Distinct role-bound endpoints such as SEC periodic-report certification by principal executive and financial officers and federal contract award by warranted contracting officers are outside this frozen general-management task; employer-specific approval policies and state or local rules require separate rows.,not_required,not_required,not_required,not_required,,calibration_draft,final,final,interpretable
pta_w10w11_20260820_acc_workday_workday_adaptive_planning_can_11_1021_01,workday,Workday,workday_adaptive_planning_prod,Workday Adaptive Planning,,2026-08-20,"Workday Adaptive Planning, current documented U.S. configuration as of 2026-08-20: AI-supported enterprise planning, forecasting, scenario analysis, reporting, and operating-plan coordination. Assessed mode: the highest-authority current mode actually described on the cited exact-product or workflow page; no hypothetical integration is added. Human role in this bounded mode: workers connect or supply governing records, integrate the analysis, make binding choices, and release or implement the result. Assessment retains the full frozen task and is limited to: AI-supported enterprise planning, forecasting, scenario analysis, reporting, and operating-plan coordination. This is a direct documented contribution to 'Direct and coordinate organizational strategy and operations'.",broad_task,"AI-supported enterprise planning, forecasting, scenario analysis, reporting, and operating-plan coordination. This is a direct documented contribution to 'Direct and coordinate organizational strategy and operations'.",occupation_worker_tool,"Operations, finance, or enterprise-planning leader",11-1021.00,General and Operations Managers,expansion-1.1-reviewed,CAN-11-1021-01,Direct and coordinate organizational strategy and operations,scope-expansion-1.1,US,2026-08-19,0.7,2,2,2,2,2,2,2,2,0,0,0,0,2026-08-19,U.S. general and operations management. Distinct role-bound endpoints such as SEC periodic-report certification by principal executive and financial officers and federal contract award by warranted contracting officers are outside this frozen general-management task; employer-specific approval policies and state or local rules require separate rows.,not_required,not_required,not_required,not_required,,calibration_draft,final,final,interpretable
pta_w10w11_20260820_w10_monday_com_monday_ai_can_11_1021_01,monday_com,monday.com,monday_ai_prod,monday AI,,2026-08-20,"monday AI, current documented U.S. configuration as of 2026-08-20: AI work-management capabilities and agents for planning, routing, coordination, status, reporting, and workflow execution. Assessed mode: the highest-authority current mode actually described on the cited exact-product or workflow page; no hypothetical integration is added. Human role in this bounded mode: workers connect or supply governing records, integrate the analysis, make binding choices, and release or implement the result. Assessment retains the full frozen task and is limited to: AI work-management capabilities and agents for planning, routing, coordination, status, reporting, and workflow execution. This is a direct documented contribution to 'Direct and coordinate organizational strategy and operations'.",broad_task,"AI work-management capabilities and agents for planning, routing, coordination, status, reporting, and workflow execution. This is a direct documented contribution to 'Direct and coordinate organizational strategy and operations'.",occupation_worker_tool,"Operations, administrative, or marketing team",11-1021.00,General and Operations Managers,expansion-1.1-reviewed,CAN-11-1021-01,Direct and coordinate organizational strategy and operations,scope-expansion-1.1,US,2026-08-19,0.7,2,2,2,2,2,2,2,2,0,0,0,0,2026-08-19,U.S. general and operations management. Distinct role-bound endpoints such as SEC periodic-report certification by principal executive and financial officers and federal contract award by warranted contracting officers are outside this frozen general-management task; employer-specific approval policies and state or local rules require separate rows.,not_required,not_required,not_required,not_required,,calibration_draft,final,final,interpretable
pta_w10w11_20260820_w10_6sense_6sense_revenue_ai_can_11_2021_01,6sense,6sense,6sense_revenue_ai_prod,6sense Revenue AI,,2026-08-20,"6sense Revenue AI, current documented U.S. configuration as of 2026-08-20: AI platform for account identification, buyer signals, audience prioritization, orchestration, personalization, and campaign decisions. Assessed mode: the highest-authority current mode actually described on the cited exact-product or workflow page; no hypothetical integration is added. Human role in this bounded mode: workers connect or supply governing records, integrate the analysis, make binding choices, and release or implement the result. Assessment retains the full frozen task and is limited to: AI platform for account identification, buyer signals, audience prioritization, orchestration, personalization, and campaign decisions. This is a direct documented contribution to 'Develop and direct marketing strategy and execution'.",broad_task,"AI platform for account identification, buyer signals, audience prioritization, orchestration, personalization, and campaign decisions. This is a direct documented contribution to 'Develop and direct marketing strategy and execution'.",occupation_worker_tool,Marketing or sales team,11-2021.00,Marketing Managers,expansion-2.1-initial-reviewed,CAN-11-2021-01,Develop and direct marketing strategy and execution,scope-expansion-2.1-v0.1,US,2026-08-20,0.7,2,2,2,2,2,2,2,2,0,0,0,0,2026-08-20,"U.S. marketing strategy and execution; conditional subset: FINRA-member retail communications subject to Rule 2210 pre-use principal approval; state, sector, and employer-only approvals otherwise excluded.",not_required,not_required,conditional,conditional,LEGAL_PROFESSIONAL_AUTHORITY,calibration_draft,calibration_draft,calibration_draft,interpretable
pta_w10w11_20260820_adobe_firefly_can_11_2021_01,adobe,Adobe,adobe_firefly_prod,Adobe Firefly,,2026-08-20,"Adobe Firefly, current documented U.S. configuration as of 2026-08-20: Creative AI application for generating and editing image, vector, video, audio, and design assets. Assessed mode: the highest-authority current mode actually described on the cited exact-product or workflow page; no hypothetical integration is added. Human role in this bounded mode: marketers supply the brief, audience, brand, evidence, and objectives, choose the concept, and approve and launch the campaign. Assessment retains the full frozen task and is limited to: Creative AI application for generating and editing image, vector, video, audio, and design assets. This is a direct documented contribution to 'Develop and direct marketing strategy and execution'.",bounded_substantive,"Creative AI application for generating and editing image, vector, video, audio, and design assets. This is a direct documented contribution to 'Develop and direct marketing strategy and execution'.",occupation_worker_tool,Marketing or creative team,11-2021.00,Marketing Managers,expansion-2.1-initial-reviewed,CAN-11-2021-01,Develop and direct marketing strategy and execution,scope-expansion-2.1-v0.1,US,2026-08-20,0.7,0,1,1,2,2,2,2,2,2,1,1,0,2026-08-20,"U.S. marketing strategy and execution; conditional subset: FINRA-member retail communications subject to Rule 2210 pre-use principal approval; state, sector, and employer-only approvals otherwise excluded.",not_required,not_required,conditional,conditional,LEGAL_PROFESSIONAL_AUTHORITY,calibration_draft,calibration_draft,calibration_draft,directional_only
pta_w10w11_20260820_w10_adobe_adobe_genstudio_for_performance_marketing_can_11_2021_01,adobe,Adobe,adobe_genstudio_for_performance_marketing_prod,Adobe GenStudio for Performance Marketing,,2026-08-20,"Adobe GenStudio for Performance Marketing, current documented U.S. configuration as of 2026-08-20: AI content-supply-chain platform for campaign planning, creation, brand control, activation, and performance insight. Assessed mode: the highest-authority current mode actually described on the cited exact-product or workflow page; no hypothetical integration is added. Human role in this bounded mode: workers connect or supply governing records, integrate the analysis, make binding choices, and release or implement the result. Assessment retains the full frozen task and is limited to: AI content-supply-chain platform for campaign planning, creation, brand control, activation, and performance insight. This is a direct documented contribution to 'Develop and direct marketing strategy and execution'.",broad_task,"AI content-supply-chain platform for campaign planning, creation, brand control, activation, and performance insight. This is a direct documented contribution to 'Develop and direct marketing strategy and execution'.",occupation_worker_tool,Marketing manager or campaign team,11-2021.00,Marketing Managers,expansion-2.1-initial-reviewed,CAN-11-2021-01,Develop and direct marketing strategy and execution,scope-expansion-2.1-v0.1,US,2026-08-20,0.7,2,2,2,2,2,2,2,2,0,0,0,0,2026-08-20,"U.S. marketing strategy and execution; conditional subset: FINRA-member retail communications subject to Rule 2210 pre-use principal approval; state, sector, and employer-only approvals otherwise excluded.",not_required,not_required,conditional,conditional,LEGAL_PROFESSIONAL_AUTHORITY,calibration_draft,calibration_draft,calibration_draft,interpretable
