occupation_soc_code,occupation_name,canonical_task_set_version,canonical_task_id,canonical_task_name,task_scope_version,acquire_scope,interpret_scope,decide_scope,act_scope,capability_date_assessed,acquire_ai_capability,interpret_ai_capability,decide_ai_capability,act_ai_capability,capability_rating_rationale,protocol_version,capability_assessment_status
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",expansion-2.1-initial-reviewed,CAN-21-1012-02,Design and coordinate student and career-support programs,scope-expansion-2.1-v0.1,"Obtain population and institutional needs, program objectives, participant and outcome information, policies and curriculum requirements, staff and resource capacity, employer and community opportunities, and stakeholder feedback.","Assess service and transition gaps, participation and program effectiveness, recruitment and prevention needs, policy implications, resource constraints, and dependencies among educators, employers, staff, and community partners.","Select program goals, audience, curriculum and activities, orientation or recruitment approach, prevention and behavior policies, partnerships, staffing and supervision, schedule, resources, and evaluation or improvement plan.","Design, promote, organize, deliver, and evaluate student-support and career programs; coordinate educators, employers, staff, and community partners; supervise program delivery; and document and improve results.",2026-08-20,IE,IE,IE,IE,"Targeted re-search found no Grade A-D artifact directly evaluating an identifiable AI configuration that designs and coordinates a student or career-support program under the frozen scope. Lesson-plan generation and tutoring systems are adjacent instructional artifacts, not evidence for institutional needs assessment, partnership and staffing decisions, program delivery, or evaluation. Every stage is IE rather than 0.",0.7,calibration_draft
21-1023.00,Mental Health and Substance Abuse Social Workers,expansion-1.1-reviewed,CAN-21-1023-01,"Assess, treat, and coordinate recovery support for clients",scope-expansion-1.1,"Obtain client history, symptoms, substance-use information, risks, functioning, goals, supports, observations, records, referrals, and prior treatment or service information.","Assess client needs, mental and behavioral health status, risk, functioning, progress, treatment response, service barriers, and changes requiring attention.","Formulate or revise the assessment and treatment plan; select counseling approaches, recovery supports, referrals, safety responses, and matters requiring escalation or coordination.","Provide counseling, education, crisis or recovery support; coordinate services and referrals; monitor follow-through; and document and communicate the client's course of care.",2026-08-19,3,4,3,3,"Acquire 3, Decide 3, and Act 3 are supported by EVID-v07-BB-MHSW1-ACQ, EVID-v07-BB-MHSW1-DEC, and EVID-v07-BB-MHSW1-ACT. Therabot elicited disclosures, selected psychotherapy responses, and delivered treatment in a randomized trial, but clinicians continuously monitored conversations and could intervene. EVID-v07-BB-MHSW1-INT supports Interpret 4 for a bounded text-only crisis-assessment configuration: a peer-reviewed fine-tuned Qwen2.5-1.5B model produced four final labels on 540 real hotline transcripts, with F1 scores of 0.805, 0.893, 0.753, and 0.886 for mood, ideation, plan, and high-risk status versus trained-operator scores of 0.729, 0.910, 0.772, and 0.897. The vector does not establish diagnosis, prospective crisis disposition, severe-crisis management, home investigation, benefits, housing, or multidisciplinary coordination. Selected evidence IDs: EVID-v07-BB-MHSW1-ACQ, EVID-v07-BB-MHSW1-INT, EVID-v07-BB-MHSW1-DEC, EVID-v07-BB-MHSW1-ACT.",0.7,final
21-1023.00,Mental Health and Substance Abuse Social Workers,expansion-1.1-reviewed,CAN-21-1023-02,"Develop community prevention, policy, and service programs",scope-expansion-1.1,"Obtain community mental-health, substance-use, social, and service data; affected-group and stakeholder input; program performance and service-gap information; available resources; existing policy, program, and community conditions; and current knowledge through literature, social research, or professional training.","Analyze prevalence, causes, risk and protective factors, service needs, coverage and access gaps, program performance, and policy or community-development implications to identify feasible intervention paths.","Select target populations and problems, prevention or service strategies, program design, resources and partnerships, policy recommendations, and community-development priorities.","Develop and conduct prevention or service-improvement programs, prepare and communicate policy or community-development advice, educate and engage community members, coordinate partners, and document implementation and outcomes.",2026-08-19,2,2,2,2,"Acquire 2 and Interpret 2 are supported by EVID-v07-BB-MHSW2-ACQ and EVID-v07-BB-MHSW2-INT: an NLP/ML framework structures social-media interactions and predicts marijuana use among youth experiencing homelessness, but humans recruited participants, obtained consent and ground truth, and must integrate a modest AUC of 0.72. Decide 2 is supported by EVID-v07-BB-MHSW2-DEC, a preliminary AI aid that recommends intervention groups from social networks while human practitioners choose and run the program. Act 2 is supported by EVID-v07-BB-MHSW2-ACT: generative AI produced effective vaping-prevention ads, but youth focus groups and researchers refined and selected the final set. No source demonstrated autonomous community needs assessment, program authorization, deployment, and evaluation.",0.7,final
21-2011.00,Clergy,expansion-2.1-initial-reviewed,CAN-21-2011-01,"Lead worship, rites, and religious formation",scope-expansion-2.1-v0.1,"Obtain the relevant sacred texts, doctrines, laws, traditions, calendar and ceremonial requirements, community and participant needs, educational objectives, and participant or lay-leader readiness.","Interpret the texts and traditions in relation to the occasion and community, assess doctrinal and formation needs, and determine the meaning, teaching, or preparation required for worship and religious practice.","Select the service or rite structure, sermon or teaching themes, readings and practices, educational approach, ceremonial details, and preparation required of participants and lay leaders.","Prepare and lead worship, prayer, sermons, rites, and ceremonies; provide religious education and instruction; and prepare participants and lay leaders for authorized religious practice.",2026-08-20,1,2,2,1,"Acquire 1: EVID-v07-CAN-21-2011-01-FMG_BENCH-ACQ; Interpret 2: EVID-v07-CAN-21-2011-01-FMG_BENCH-INT; Decide 2: EVID-v07-CAN-21-2011-01-FMG_BENCH-DEC; Act 1: EVID-v07-CAN-21-2011-01-FMG_BENCH-ACT. Stagewise frontier; systems may differ. Models can retrieve and interpret doctrine and draft services or teaching, but clergy remain principal for authorized rites, embodied leadership, and formation. Full configurations, human roles, performance, and boundaries are in OccupationTask_CapabilityEvidence.",0.7,calibration_draft
21-2011.00,Clergy,expansion-2.1-initial-reviewed,CAN-21-2011-02,Provide pastoral and spiritual care,scope-expansion-2.1-v0.1,"Obtain the person or group's expressed concerns, spiritual and personal context, emotional and moral needs, crisis and safety information, relevant history, setting constraints, and available community or professional resources.","Assess the nature, urgency, and spiritual or pastoral meaning of the need, identify risks and limits of pastoral support, and determine whether referral or continued care is appropriate.","Select the counseling, comfort, encouragement, visit, crisis response, referral, and follow-up approach responsive to the person, group, and setting.","Provide pastoral counseling, comfort, encouragement, visits, and crisis support; connect people with appropriate services when needed; and continue or document follow-up care.",2026-08-20,2,2,2,2,"FMG-Bench supports 2/2/2/2 for bounded Christian pastoral-response scenarios. Guided language-model configurations produce useful context-sensitive assessment, escalation, advice, and response text, but the benchmark does not establish real-person outcomes, longitudinal care, referral completion, crisis reliability, or pastoral authority. Humans must materially validate and deliver care.",0.7,calibration_draft
21-2011.00,Clergy,expansion-2.1-initial-reviewed,CAN-21-2011-03,Lead congregational operations and community programs,scope-expansion-2.1-v0.1,"Obtain membership and community needs, program opportunities, committee and stakeholder input, budget and fundraising information, staff and volunteer capacity, facility and supply status, contracts, and lay-leader development needs.","Assess organizational capacity, program and membership gaps, resource and facility constraints, financial implications, staffing and volunteer needs, and dependencies affecting the congregation's mission.","Select community and membership programs, committee and governance arrangements, budgets, fundraising, contracts, staffing and volunteer assignments, facility and supply priorities, and lay-leader development actions.","Organize and coordinate congregational and community programs, committees, finances, fundraising, contracts, facilities, supplies, staff, volunteers, and lay-leader development so the organization is sustained.",2026-08-20,1,1,1,1,"The qualitative pastor-use study supports 1/1/1/1. ChatGPT-class tools contribute ideas, drafting, and administrative assistance, but the study provides no objective performance evidence and interviewed pastors retain needs assessment, organizational judgment, governance, resource allocation, relationship work, and execution.",0.7,calibration_draft
23-1011.00,Lawyers,expansion-1.1-reviewed,CAN-23-1011-01,Analyze legal issues and advise clients,scope-expansion-1.1,"Obtain objectives, questions, facts, and documents from individual, business, or estate-representative clients in advisory matters; relevant statutes, regulations, rulings, precedents, and public records; transaction or liability context; third-party and specialist input; deadlines; and matter resources.","Research and interpret legal authorities and facts, reconcile conflicting information, and assess rights, obligations, liability, risk, likely consequences, and available legal options.","Select a defensible legal position, advice, recommended course, and matter priorities, including whether pursuing or defending action is advisable and whether specialist input or additional supporting work is needed.","Deliver oral or written legal advice and opinions, explain options, risks, rights, and obligations, document the analysis and recommendation, and coordinate or supervise supporting legal and administrative work.",2026-08-19,2,2,2,2,"The composite frontier uses directly evaluated legal-research, practical-reasoning, and human-plus-AI writing configurations. Lexis+ AI retrieved and synthesized authorities but answered only 65% of preregistered queries accurately and legal RAG products hallucinated in 17% to 33% of responses (EVID-v07-LAW-001 and EVID-v07-LAW-002). GPT-5.2 reached 69.67% overall on the expert-rubric PLawBench while retaining material fact, statute, and reasoning errors (EVID-v07-LAW-003). In a peer-reviewed randomized trial, Vincent AI materially improved the productivity of students preparing client communications and legal memoranda, but the people performed and submitted the final work (EVID-v07-LAW-004). Each stage is therefore 2: the tools perform substantial components, but a lawyer must materially verify, integrate, choose, and deliver the advice.",0.7,final
23-1011.00,Lawyers,expansion-1.1-reviewed,CAN-23-1011-02,Develop and advocate cases in disputes and legal proceedings,scope-expansion-1.1,"For civil, criminal, agency, appellate, or contested-probate matters, interview clients and witnesses and search or obtain records, exhibits, public records, opposing filings and evidence, procedural history, applicable authorities and rules, forum requirements, expert or specialist input, and settlement positions.","Evaluate the credibility and sufficiency of facts and evidence, analyze governing authorities, and assess claims, defenses, probable outcomes, procedural posture, damages or exposure, opposing positions, and appellate issues.","Select case theory, claims or defenses, evidence and witness strategy, motions and arguments, jury approach, negotiation or settlement positions, filing or appeal choices, and proceeding priorities.","Draft and file briefs, motions, case-related opinions, and appeals; negotiate settlements; present evidence and summarize cases; question witnesses; argue motions; confer with judges; select jurors; represent clients in courts or agencies; and document and coordinate case work.",2026-08-19,2,2,2,2,"EVID-v07-LAW-005 through EVID-v07-LAW-008 separate document/evidence work from case judgment and advocacy. Harvey Assistant extracted litigation-relevant information from supplied legal records at 75.1%, but complex multi-document extraction remained incomplete. PLawBench models consumed noisy case narratives, analyzed claims and defenses, selected litigation positions, and generated complaints or defenses, yet the strongest overall model scored 69.67% and the peer-reviewed error analysis found recurring missing facts, broken reasoning chains, wrong law, and procedural errors. A randomized trial found that o1-preview sharply increased productivity for complaint analysis, motions, and persuasive writing, but upper-level law students remained the authors of the final work. All four stages are 2 because a lawyer still materially completes the record, analysis, strategy, filing, negotiation, and advocacy endpoint. Selected stage evidence IDs: EVID-v07-LAW-005, EVID-v07-LAW-006, EVID-v07-LAW-007, EVID-v07-LAW-008.",0.7,final
23-1011.00,Lawyers,expansion-1.1-reviewed,CAN-23-1011-03,Develop legislation and enforcement frameworks,scope-expansion-1.1,"Obtain policy objectives, existing constitutional, statutory, and regulatory authorities, program evidence, information about affected populations and operations, enforcement experience, stakeholder input, implementation resources and constraints, and comparable laws or programs.","Analyze governing authority, the policy problem, program effects, conflicts, gaps, ambiguities, implementation and enforcement consequences, and impacts on affected stakeholders.","Select program structure, legislative provisions, definitions and standards, allocation of authority and resources, enforcement mechanisms and procedures, and amendment or interpretive positions.","Draft and revise legislation and government-program documents, produce and communicate documented legislative interpretations, draft and communicate enforcement procedures and guidance, and coordinate or supervise supporting legal work.",2026-08-19,2,2,2,2,"EVID-v07-LAW-009 through EVID-v07-LAW-012 use the European Commission's context-aware legal-verification proof of concept integrated into LEOS. It retrieved and ranked in-force definitions and references, checked time validity, detected regulatory-reporting components, completed incomplete references, and extracted structured RDF while a drafter worked on an EU legislative act. The official report expressly leaves the choice of definition to the user and displays extracted information for user verification; it supplies no quantitative accuracy or field-deployment evidence. The proof of concept therefore supports substantial partial performance at each stage, but not a complete stage with only a routine gate. The vector is limited to legislative-reference, definition, and reporting-requirement support and does not cover policy evidence, stakeholder impacts, resource allocation, enforcement design, or a complete bill. Selected stage evidence IDs: EVID-v07-LAW-009, EVID-v07-LAW-010, EVID-v07-LAW-011, EVID-v07-LAW-012.",0.7,final
23-1011.00,Lawyers,expansion-1.1-reviewed,CAN-23-1011-04,"Structure and administer legal transactions, instruments, estates, and fiduciary matters",scope-expansion-1.1,"Locate and obtain client or party objectives; transaction, property, estate, beneficiary, and fiduciary facts; existing instruments and counterpart terms; and legal or public records bearing on ownership, rights, and obligations.","Examine the facts, records, instruments, and proposed terms to establish ownership and identify rights, duties, succession or fiduciary consequences, conflicts, gaps, and issues in the contemplated arrangement.","Choose the transaction, estate, ownership, or fiduciary structure; drafting provisions; negotiation positions; allocations of rights and duties; and administration or probate steps.","Draft, revise, and finalize legal instruments; negotiate contractual agreements; prepare ownership opinions; probate wills and represent or advise executors and administrators; establish and administer the arrangements; serve as agent, trustee, guardian, or executor; and document and communicate the resulting rights, obligations, and actions.",2026-08-19,2,4,2,2,"The stagewise frontier combines two independent contract-work benchmarks rather than extrapolating from general language-model ability. Harvey Assistant extracted supplied legal-document content at 75.1% and answered contract-style document questions at 94.8%, with raw outputs evaluated against law-firm criteria and no lawyer intervening during a run (EVID-v07-LAW-013 and EVID-v07-LAW-014); the latter supports Interpret 4 for the bounded single-document question-answering configuration. In a separate 450-output benchmark, Gemini 2.5 Pro produced contract first drafts with 73.3% reliability and AI systems surfaced material risk warnings, but the report assigns commercial judgment, checking, and finalization to lawyers (EVID-v07-LAW-015 and EVID-v07-LAW-016). Acquire, Decide, and Act are consequently 2. Estate, probate, ownership-opinion, negotiation, and fiduciary-administration variants were not directly demonstrated.",0.7,final
23-1023.00,"Judges, Magistrate Judges, and Magistrates",expansion-2.1-initial-reviewed,CAN-23-1023-01,Conduct proceedings and issue binding judicial decisions,scope-expansion-2.1-v0.1,"Obtain the case record, pleadings and motions, governing law and procedure, evidence and testimony, party positions, prior rulings, jury and hearing information, and facts relevant to the requested judicial action.","Assess jurisdiction and procedure, evidentiary relevance and credibility, disputed facts, legal standards, party arguments, available remedies, aggravating or mitigating circumstances, and the reasoning supported by the record.","Determine procedural and evidentiary rulings, findings, liability or responsibility, warrants and restrictions, remedies, custody or compensation, sentence, settlement treatment, and the content of the enforceable judgment or order.","Conduct and control the proceeding, manage evidence, parties, juries, and courtroom process, issue oral or written rulings, orders, judgments, remedies, or sentences, and create the required judicial record.",2026-08-20,2,4,4,4,"Judge AI supports 2/4/4/4 for one bounded record-based international war-crimes appeal. Researchers compiled and converted the record, limiting Acquire to 2; GPT-4o then applied controlling precedent, resisted sympathy manipulation, selected affirm or reverse, and produced brief rulings across 100 runs without case-by-case human correction. The score does not extend to live proceedings, evidence admission, witness credibility, broad jurisdictions, or enforcement.",0.7,calibration_draft
23-2011.00,Paralegals and Legal Assistants,expansion-2.1-initial-reviewed,CAN-23-2011-01,Prepare and coordinate legal matters under lawyer direction,scope-expansion-2.1-v0.1,"Obtain facts, client and witness information, governing law and legal sources, records and evidence, transaction or case requirements, deadlines, court and filing rules, attorney instructions, and the status of related documents and activities.","Assess the relevance, completeness, consistency, and organization of facts, law, records, and evidence; identify procedural requirements, missing support, conflicts, and matters requiring attorney attention.","Select research paths, document and evidence organization, draft structure and supporting content, filing and coordination steps, scheduling priorities, and issues to elevate to the supervising legal team.","Investigate and research the matter; gather, summarize, organize, and maintain records and evidence; prepare, edit, and file legal documents; coordinate clients, witnesses, professionals, courts, calendars, and case activities; and support proceedings under lawyer direction.",2026-08-20,2,3,3,3,"Relativity aiR supports 2/3/3/3 for a bounded 1,600-document litigation review. It reviews and codes documents with reported relevance recall of 83.9% and precision of 84.7%, and produces issue and review outputs, but mixed issue-coding performance and the need for lawyer validation prevent 4s. It does not independently run a complete legal matter.",0.7,calibration_draft
25-2021.00,"Elementary School Teachers, Except Special Education",expansion-1.1-reviewed,CAN-25-2021-01,Teach and support elementary students,scope-expansion-1.1,"In general elementary classrooms and school programs, obtain curriculum objectives and school requirements; observe individual and group student work, test results, behavior, social and physical development, safety, and access needs; and gather family, staff, assistant or volunteer, resource, and classroom information.","Evaluate and grade student work, tests, progress, strengths, learning and behavioral needs, development, classroom conditions, and disability-access needs; evaluate assistant or volunteer performance and program effectiveness; and synthesize family and professional input relevant to instruction and support.","Choose and adapt learning objectives, lessons, materials, grouping, pacing, assessments, remediation, accommodations, behavior and safety responses, enrichment, staff or volunteer assignments, program revisions, resources, and coordination priorities.","Prepare classrooms and materials; communicate objectives; deliver and adapt individual and group instruction, remediation, counseling, tests, projects, trips, and developmental activities; maintain order and safe equipment use; record grades and maintain or report student records; confer with families and professionals; develop or revise programs; supervise assistants and volunteers; select, order, and inventory supplies; and perform school-monitoring, committee, professional-development, and extracurricular duties.",2026-08-19,4,4,4,4,"EVID-v07-EDU-001 through EVID-v07-EDU-004 use Maths-Whizz as independently evaluated by NFER in a high-security randomized trial across 63 English primary schools and 8,983 pupils with final outcomes. In bounded Years 2-5 mathematics tutor sessions, the system administered adaptive assessment, diagnosed topic gaps and mathematical age, created and continually adjusted learning plans, and delivered questions, explanations, practice, tests, and feedback without a human tutor selecting or correcting each step. The trial found an effect size of 0.08, approximately one month of additional progress, and 0.14 for pupils eligible for free school meals. Teachers provided ordinary classroom teaching outside the product, facilitated access, and could constrain topics, so the 4/4/4/4 vector applies only to the substantive adaptive-math-tutoring configuration, not classroom management, safety, counseling, family conferences, trips, broad curriculum teaching, or school-program administration. Selected stage evidence IDs: EVID-v07-EDU-001, EVID-v07-EDU-002, EVID-v07-EDU-003, EVID-v07-EDU-004.",0.7,final
25-4022.00,Librarians and Media Collections Specialists,expansion-2.1-initial-reviewed,CAN-25-4022-01,"Provide patron access, reference, instruction, and programs",scope-expansion-2.1-v0.1,"Obtain the patron's question, access need, audience and use context, relevant collection and external-resource information, circulation and borrowing status, applicable policies, technology or equipment condition, and program or instruction requirements.","Clarify the patron's intent, assess source relevance and suitability, identify access or retrieval barriers, determine the patron's information or technology skill needs, and evaluate whether the available resources satisfy the request.","Select search and retrieval approach, resources, borrowing or referral path, circulation response, explanation or instruction, technology troubleshooting, and the content and format of a program, bibliography, or display.","Search, retrieve, circulate, borrow, and present information resources; explain policies and access; teach information, computer, or media skills; troubleshoot access equipment; and deliver patron programs, bibliographies, or displays.",2026-08-20,2,2,2,2,"Acquire 2: EVID-v07-CAN-25-4022-01-LIB_RAG-ACQ; Interpret 2: EVID-v07-CAN-25-4022-01-LIB_RAG-INT; Decide 2: EVID-v07-CAN-25-4022-01-LIB_RAG-DEC; Act 2: EVID-v07-CAN-25-4022-01-LIB_RAG-ACT. Stagewise frontier; systems may differ. A grounded chatbot completes bounded reference interactions, but small-sample performance does not establish reliable service across complex patron needs. Full configurations, human roles, performance, and boundaries are in OccupationTask_CapabilityEvidence.",0.7,calibration_draft
25-4022.00,Librarians and Media Collections Specialists,expansion-2.1-initial-reviewed,CAN-25-4022-02,Develop and maintain library collections and discovery systems,scope-expansion-2.1-v0.1,"Obtain collection goals and user needs, usage and circulation information, inventory and condition records, metadata and cataloging requirements, vendor and price information, course and institutional needs, budget constraints, and database, equipment, and system status.","Assess relevance, demand, collection gaps and duplication, resource condition and obsolescence, classification and metadata needs, discoverability, vendor and cost implications, and the performance of supporting records, equipment, and systems.","Select resources to acquire, license, retain, discard, or preserve; determine classification, cataloging, metadata, vendor, inventory, and course-material actions; and choose changes to discovery aids and supporting technology.","Order and license resources; classify and catalog them; update databases, inventories, access aids, and collection lists; retain, weed, or preserve materials; coordinate vendors and course materials; and maintain supporting equipment and systems.",2026-08-20,2,2,2,2,"The cataloging study supports 2/2/2/2. A generative-AI chatbot creates bibliographic descriptions, classifications, headings, and record text, but final DDC and LCC accuracy was only 26% and 20%, LCSH accuracy 54%, and human cataloger review remained essential. It does not establish collection-policy, acquisition, licensing, preservation, or full collection administration.",0.7,calibration_draft
25-4022.00,Librarians and Media Collections Specialists,expansion-2.1-initial-reviewed,CAN-25-4022-03,Direct library operations and services,scope-expansion-2.1-v0.1,"Obtain community and stakeholder needs, service and collection proposals, policies and governance requirements, budget and operational information, staffing and schedule capacity, facility and resource status, performance evidence, and institutional priorities.","Assess service performance, operational and policy gaps, resource and budget constraints, staffing and training needs, stakeholder implications, and risks to reliable library or media-center operations.","Select policies and services, budgets and resource priorities, staffing and schedules, training and operating procedures, stakeholder and committee positions, and changes needed to improve library operations.","Set and implement policies and services; plan and administer budgets and daily operations; hire, schedule, train, and direct staff; consult stakeholders; and represent the library in institutional and community governance.",2026-08-20,IE,IE,IE,IE,"Acquire IE; Interpret IE; Decide IE; Act IE. Stagewise frontier; systems may differ. The search found reviews and reported uses but no identifiable evaluated AI configuration with adequate performance and human-role evidence for library budgeting, staffing, policy, and operations. Full configurations, human roles, performance, and boundaries are in OccupationTask_CapabilityEvidence.",0.7,calibration_draft
25-9031.00,Instructional Coordinators,expansion-2.1-initial-reviewed,CAN-25-9031-01,"Coordinate curricula, teaching standards, and educator support",scope-expansion-2.1-v0.1,"Obtain curriculum and instructional needs, student and program performance, teaching observations, applicable standards, policies, and accreditation requirements, educator and administrator input, current materials and technology, available resources, and implementation results.","Assess curriculum alignment and gaps, instructional and educator-performance needs, policy implications, material suitability, implementation quality, program effectiveness, and constraints affecting teaching improvement.","Select curriculum and program revisions, standards and policy guidance, educator coaching and training, instructional materials and resources, implementation approach, and evaluation and improvement priorities.","Develop and coordinate curriculum and program changes, advise and train educators, organize instructional resources, communicate requirements and objectives, monitor implementation, and document and improve teaching support.",2026-08-20,2,2,2,2,"The lesson-plan assessment study supports 2/2/2/2. The LLM configuration generates and evaluates instructional-design artifacts with moderate agreement with trained raters, but it does not establish institution-wide standards alignment, teacher observation, coaching, implementation monitoring, or curriculum coordination. Human instructional leaders materially complete every frozen stage.",0.7,calibration_draft
25-9031.00,Instructional Coordinators,expansion-2.1-initial-reviewed,CAN-25-9031-02,Design and evaluate instructional systems and learning products,scope-expansion-2.1-v0.1,"Obtain audience and performance needs, domain content and subject-matter input, existing courses and materials, learning and accreditation requirements, delivery and technology constraints, evaluation data, and cost and feasibility information.","Assess learning and performance gaps, define the meaning and structure of content, evaluate instructional effectiveness and usability, and identify implications of audience differences, technology, standards, feasibility, and cost.","Select learning objectives, instructional strategy and sequence, delivery mode and technology, content and activities, assessment and measurement approach, documentation, and revisions needed to meet the defined learning outcome.","Research, design, edit, produce, and document courses, courseware, assessments, and instructional aids; present design recommendations; evaluate usability and effectiveness; and revise the learning product.",2026-08-20,4,4,4,4,"The 16-week GPT-4o adaptive-curriculum configuration supports 4/4/4/4 for a bounded course-level instructional system. It continuously collected learner data, maintained profiles, chose content, difficulty, pacing, and format, and delivered adaptations through the LMS; a randomized 270-student study reported large learning and engagement gains. The boundary is one Thai course and does not establish institution-wide adoption or all subjects.",0.7,calibration_draft
27-1024.00,Graphic Designers,expansion-1.1-reviewed,CAN-27-1024-01,Deliver visual communication designs and production-ready content,scope-expansion-1.1,"Gather the client or supervisor brief, communication purpose, audience research, source content, images and presentation references, prior assets, candidate software or design concepts, production specifications, and review feedback.","Synthesize the purpose, audience, content, references, and feedback; evaluate the visual relationships among illustrative material and copy, design coherence, final-layout issues, and production constraints or readiness.","Select concepts, media, layout, typography, color, imagery, illustration, designer-supplied copy or content, production methods, and revisions that best serve the communication purpose.","Create and revise concepts, rough sketches, layouts, graphics, charts, images, illustrations, still or animated broadcast graphics, and design-integrated copy or content; present layouts and produce photographs or proofs of them; incorporate feedback; assemble and mark up final layouts; prepare production files and worker instructions; and archive and deliver the result for print, web, or broadcast use.",2026-08-19,2,2,2,3,"The design frontier is stage-specific. PosterAgent automatically distilled a supplied paper into text-and-visual assets, but did not obtain a client brief, audience research, specifications, or feedback (EVID-v07-DES-001). A 19-model graphic-design benchmark found GPT-4.1 strongest overall at only 65.5%, and Graphist generated strong but explicitly draft-level element layouts rather than the broader concept and production plan (EVID-v07-DES-002 and EVID-v07-DES-003), supporting 2 for Interpret and Decide. A peer-reviewed Stable Diffusion/CLIP/ControlNet framework generated complete static designs across five commercial scenarios with no manual post-processing in the core test and over 91% cycle-time savings, while its practical workflow retained human refinement and verification and 80% of outputs needed minor adjustment (EVID-v07-DES-004). Act is therefore 3, not 4; source-file export, dynamic design, nuanced brand judgment, and final production handoff remain material limits.",0.7,final
27-3023.00,"News Analysts, Reporters, and Journalists",expansion-2.1-initial-reviewed,CAN-27-3023-01,"Investigate, verify, and report news",scope-expansion-2.1-v0.1,"Obtain leads and potential subjects, source and public records, interviews and observations, background information, images, video, audio, location information, publication requirements, and new or changing evidence relevant to the account.","Assess newsworthiness, source credibility and independence, factual consistency, corroboration, context, material gaps, visual and audio meaning, and the significance of the evidence for the intended audience.","Select the subject, angle and emphasis, sources and facts to include, additional verification, narrative and visual organization, medium, timing, and the treatment of uncertainty or correction.","Investigate, interview, observe, verify, write, edit, record, photograph, present, transmit, and publish or broadcast the coherent news account through the required medium.",2026-08-20,3,3,3,3,"Robo-Reporters supports 3/3/3/3 for bounded digital reporting tasks. Across 200 controlled experiments and 50 graduated journalism tasks, the strongest multi-agent architecture searched sources, rejected weak evidence, made editorial choices, and produced story artifacts with 84.7% accuracy. That performance still requires routine editorial verification and does not establish interviews, field reporting, legal review, or publication across breaking-news conditions.",0.7,calibration_draft
27-3023.00,"News Analysts, Reporters, and Journalists",expansion-2.1-initial-reviewed,CAN-27-3023-02,"Develop and present news analysis, commentary, or criticism",scope-expansion-2.1-v0.1,"Obtain the news event, public subject, artistic or sports work, background and contextual evidence, relevant arguments and prior commentary, audience context, and requirements of the column, review, blog, script, or broadcast format.","Analyze the subject's meaning, significance, quality, implications, evidence, arguments, and context, distinguish supported interpretation from factual uncertainty, and identify the central analytical or critical contribution.","Select the thesis or interpretive position, supporting evidence and examples, emphasis, tone, organization, degree of judgment, and the most suitable commentary or criticism format.","Write, edit, record, or present the analysis, interpretation, commentary, or critique and deliver it to the intended public audience through the assigned medium.",2026-08-20,2,2,2,2,"Deep-research agents support substantial but incomplete source acquisition and synthesis, while the financial-commentary experiment directly establishes AI-authored commentary but does not disclose the exact model, factual-accuracy performance, source grounding, or human preparation. The resulting stagewise frontier is 2/2/2/2.",0.7,calibration_draft
27-3043.00,Writers and Authors,expansion-2.1-initial-reviewed,CAN-27-3043-01,Create and prepare written work for a defined purpose and audience,scope-expansion-2.1-v0.1,"Obtain the purpose, intended audience, assignment or creative objective, subject information and research sources, format and publication requirements, client or collaborator input, rights constraints, and feedback on drafts.","Assess the subject matter, factual and creative material, audience expectations, intended meaning, tone and voice, structural possibilities, source reliability, and how feedback affects the work.","Select the concept, argument or narrative, content and evidence, voice and tone, organization, format, revisions, and publication or production preparation needed for the defined purpose and audience.","Research or generate content, plan, draft, revise, edit, and proof the written work; resolve collaborator or client revisions and applicable rights requirements; and prepare the finished work for publication or production.",2026-08-20,2,2,4,4,"Acquire 2: EVID-v07-CAN-27-3043-01-DEEPRESEARCH-ACQ; Interpret 2: EVID-v07-CAN-27-3043-01-DEEPRESEARCH-INT; Decide 4: EVID-v07-CAN-27-3043-01-WRITING_RCT-DEC; Act 4: EVID-v07-CAN-27-3043-01-WRITING_RCT-ACT. Stagewise frontier; systems may differ. Research agents provide substantial source work, and GPT-5 independently produces effective finished texts in bounded propositional and creative tasks. Full configurations, human roles, performance, and boundaries are in OccupationTask_CapabilityEvidence.",0.7,calibration_draft
