release_version,occupation_soc_code,occupation_name,canonical_task_id,canonical_task_name,jurisdiction_scope,language_scope,collection_status,live_product_design_assessment_count,live_distinct_product_count,provisional_eligible_product_count,provisional_product_design_assessment_count,search_run_count,completed_source_family_count,source_families,unresolved_candidate_count,high_salience_unresolved_count,holdout_recall,cold_challenge_result,saturation_status,coverage_claim,major_limitations,next_required_work,release_mapped_product_count,release_mapped_company_count,release_product_design_assessment_count,release_numeric_design_assessment_count,release_non_numeric_design_assessment_count,release_design_pending_assessment_count,release_rated_with_ie_assessment_count,release_numeric_design_product_count,release_coded_design_product_count,release_design_coding_status,release_discovery_hit_count,release_search_run_count,release_eligible_discovery_hit_count,release_excluded_discovery_hit_count,release_duplicate_discovery_hit_count,release_unresolved_discovery_hit_count,release_pending_discovery_hit_count
working_initial_release,47-2031.00,Carpenters,CAN-47-2031-03,Build temporary structures and site supports,US first wave; separately documented foreign calibration rows may exist,English,active_search,0,0,0,0,17,6,application_marketplace|cloud_marketplace|incumbent_provider_archive|industry_awards|industry_ecosystem|web_query_matrix,1,1,not_estimated,not_run,not_saturated,No comprehensive current-product claim; counts reflect live calibration rows and explicitly labeled provisional staging only.,Structured marketplace/exhibitor panels not enumerated to an accessible end; independent holdout and cold-start challenge not completed; unresolved high-salience leads remain.,"Complete panel end-enumeration where accessible, resolve high-salience leads, run independent holdout and cold-start challenge, then assess stopping rules. Then complete independently reviewed product-design coding.",0,0,0,0,0,0,0,0,0,not_applicable_no_products_found,2,17,0,1,0,1,0
working_initial_release,47-2031.00,Carpenters,CAN-47-2031-04,Complete surfaces and interior finishes,US first wave; separately documented foreign calibration rows may exist,English,active_search,2,2,1,0,17,6,application_marketplace|cloud_marketplace|incumbent_provider_archive|industry_awards|industry_ecosystem|web_query_matrix,2,2,not_estimated,not_run,not_saturated,No comprehensive current-product claim; counts reflect live calibration rows and explicitly labeled provisional staging only.,Structured marketplace/exhibitor panels not enumerated to an accessible end; independent holdout and cold-start challenge not completed; unresolved high-salience leads remain.,"Complete panel end-enumeration where accessible, resolve high-salience leads, run independent holdout and cold-start challenge, then assess stopping rules. Then complete independently reviewed product-design coding.",2,2,2,2,0,0,0,2,2,complete_for_current_inventory,8,17,2,2,1,3,0
working_initial_release,53-3032.00,Heavy and Tractor-Trailer Truck Drivers,TRK-01,Transport and deliver freight by heavy truck,US first wave; separately documented foreign calibration rows may exist,English,active_search,6,6,9,0,17,6,application_marketplace|cloud_marketplace|incumbent_provider_archive|industry_ecosystem|public_regulatory_and_deployment|web_query_matrix,5,5,not_estimated,not_run,not_saturated,No comprehensive current-product claim; counts reflect live calibration rows and explicitly labeled provisional staging only.,Structured marketplace/exhibitor panels not enumerated to an accessible end; independent holdout and cold-start challenge not completed; unresolved high-salience leads remain.,"Complete panel end-enumeration where accessible, resolve high-salience leads, run independent holdout and cold-start challenge, then assess stopping rules. Then complete independently reviewed product-design coding.",12,10,13,13,0,0,0,12,12,complete_for_current_inventory,24,17,15,2,1,6,0
working_initial_release,11-1021.00,General and Operations Managers,CAN-11-1021-01,Direct and coordinate organizational strategy and operations,US first wave; separately documented foreign calibration rows may exist,English,active_search,3,3,15,0,18,7,application_marketplace|broad_product_source|challenge_panel|cloud_marketplace|incumbent_provider_archive|professional_ecosystem|web_query_matrix,2,2,not_estimated,not_run,not_saturated,No comprehensive current-product claim; counts reflect live calibration rows and explicitly labeled provisional staging only.,Structured marketplace/exhibitor panels not enumerated to an accessible end; independent holdout and cold-start challenge not completed; unresolved high-salience leads remain.,"Complete panel end-enumeration where accessible, resolve high-salience leads, run independent holdout and cold-start challenge, then assess stopping rules. Then complete independently reviewed product-design coding.",17,17,17,17,0,0,0,17,17,complete_for_current_inventory,20,21,15,2,1,2,0
working_initial_release,13-1071.00,Human Resources Specialists,CAN-13-1071-01,"Administer recruitment, credentialing, and the employment relationship",US first wave; separately documented foreign calibration rows may exist,English,active_search,3,3,22,0,19,6,application_marketplace|broad_product_source|cloud_marketplace|incumbent_provider_archive|industry_ecosystem|web_query_matrix,1,1,not_estimated,not_run,not_saturated,No comprehensive current-product claim; counts reflect live calibration rows and explicitly labeled provisional staging only.,Structured marketplace/exhibitor panels not enumerated to an accessible end; independent holdout and cold-start challenge not completed; unresolved high-salience leads remain.,"Complete panel end-enumeration where accessible, resolve high-salience leads, run independent holdout and cold-start challenge, then assess stopping rules. Then complete independently reviewed product-design coding.",22,22,23,23,0,0,0,22,22,complete_for_current_inventory,24,22,22,0,1,1,0
working_initial_release,15-1212.00,Information Security Analysts,CAN-15-1212-01,Safeguard information systems and data,US first wave; separately documented foreign calibration rows may exist,English,active_search,3,3,14,0,7,7,cloud_marketplace;competitor_and_integration_snowball;independent_deployment;industry_registry;open_source_repository;professional_conference;public_web_query_matrix,1,0,not_run,not_completed,not_saturated,No comprehensive current-product claim; counts reflect live calibration rows and explicitly labeled provisional staging only.,"Dynamic and authenticated catalogs were only partially accessible; English and U.S. availability scope; embedded, regional, renamed, and white-label products may be missed; no independent recall estimate.","Resolve high-salience leads, decompose major incumbent suites, enumerate accessible panel updates, run blinded holdout and cold challenge, and complete two low-yield rounds before design coding.",14,14,14,14,0,0,0,14,14,complete_for_current_inventory,15,9,14,0,0,1,0
working_initial_release,17-2051.00,Civil Engineers,CAN-17-2051-01,"Plan, design, and oversee civil engineering projects",US first wave; separately documented foreign calibration rows may exist,English,active_search,4,4,13,0,7,7,cloud_marketplace;competitor_and_integration_snowball;independent_deployment;industry_registry;open_source_repository;professional_conference;public_web_query_matrix,1,1,not_run,not_completed,not_saturated,No comprehensive current-product claim; counts reflect live calibration rows and explicitly labeled provisional staging only.,"Dynamic and authenticated catalogs were only partially accessible; English and U.S. availability scope; embedded, regional, renamed, and white-label products may be missed; no independent recall estimate.","Resolve high-salience leads, decompose major incumbent suites, enumerate accessible panel updates, run blinded holdout and cold challenge, and complete two low-yield rounds before design coding.",13,13,13,13,0,0,0,13,13,complete_for_current_inventory,14,10,13,0,0,1,0
working_initial_release,19-2041.00,"Environmental Scientists and Specialists, Including Health",CAN-19-2041-01,Investigate and address environmental hazards and impacts,US first wave; separately documented foreign calibration rows may exist,English,active_search,2,2,12,0,7,7,cloud_marketplace;competitor_and_integration_snowball;independent_deployment;industry_registry;open_source_repository;professional_conference;public_web_query_matrix,2,2,not_run,not_completed,not_saturated,No comprehensive current-product claim; counts reflect live calibration rows and explicitly labeled provisional staging only.,"Dynamic and authenticated catalogs were only partially accessible; English and U.S. availability scope; embedded, regional, renamed, and white-label products may be missed; no independent recall estimate.","Resolve high-salience leads, decompose major incumbent suites, enumerate accessible panel updates, run blinded holdout and cold challenge, and complete two low-yield rounds before design coding.",12,12,12,12,0,0,0,12,12,complete_for_current_inventory,14,9,12,0,0,2,0
working_initial_release,19-2041.00,"Environmental Scientists and Specialists, Including Health",CAN-19-2041-02,Evaluate and administer environmental compliance and permitting,US first wave; separately documented foreign calibration rows may exist,English,active_search,3,3,7,0,7,7,cloud_marketplace;competitor_and_integration_snowball;independent_deployment;industry_registry;open_source_repository;professional_conference;public_web_query_matrix,1,1,not_run,not_completed,not_saturated,No comprehensive current-product claim; counts reflect live calibration rows and explicitly labeled provisional staging only.,"Dynamic and authenticated catalogs were only partially accessible; English and U.S. availability scope; embedded, regional, renamed, and white-label products may be missed; no independent recall estimate.","Resolve high-salience leads, decompose major incumbent suites, enumerate accessible panel updates, run blinded holdout and cold challenge, and complete two low-yield rounds before design coding.",7,7,7,7,0,0,0,7,7,complete_for_current_inventory,8,10,7,0,0,1,0
working_initial_release,21-1023.00,Mental Health and Substance Abuse Social Workers,CAN-21-1023-01,"Assess, treat, and coordinate recovery support for clients",US first wave; separately documented foreign calibration rows may exist,English,active_search,4,4,15,0,6,6,frozen_public_web_matrix|marketplace_procurement|official_deployment_customer|professional_association_conference|snowball_incumbent_archive|structured_product_directory,5,5,not_run,not_completed,not_saturated,No comprehensive current-product claim; counts reflect live calibration rows and explicitly labeled provisional staging only.,"Panels not enumerated to end; no independent holdout or recall estimate; no cold challenge; no two consecutive low-yield rounds; long-tail, regional, embedded, and product-lineage candidates remain open; high-salience unresolveds remain.","Resolve high-salience leads, enumerate mandatory panels, run a blinded holdout and cold challenge, complete two clean low-yield rounds, then code product design.",15,13,15,15,0,0,0,15,15,complete_for_current_inventory,20,9,14,1,0,5,0
working_initial_release,21-1023.00,Mental Health and Substance Abuse Social Workers,CAN-21-1023-02,"Develop community prevention, policy, and service programs",US first wave; separately documented foreign calibration rows may exist,English,active_search,1,1,6,0,6,6,frozen_public_web_matrix|marketplace_procurement|official_deployment_customer|professional_association_conference|snowball_incumbent_archive|structured_product_directory,2,2,not_run,not_completed,not_saturated,No comprehensive current-product claim; counts reflect live calibration rows and explicitly labeled provisional staging only.,"Panels not enumerated to end; no independent holdout or recall estimate; no cold challenge; no two consecutive low-yield rounds; long-tail, regional, embedded, and product-lineage candidates remain open; high-salience unresolveds remain.","Resolve high-salience leads, enumerate mandatory panels, run a blinded holdout and cold challenge, complete two clean low-yield rounds, then code product design.",7,7,7,7,0,0,0,7,7,complete_for_current_inventory,8,8,6,0,0,2,0
working_initial_release,23-1011.00,Lawyers,CAN-23-1011-01,Analyze legal issues and advise clients,US first wave; separately documented foreign calibration rows may exist,English,active_search,4,4,14,0,6,6,broad_product_directory|broad_structured_directory|incumbent_provider_archive|industry_ecosystem|industry_landscape|official_exact_product_verification,3,3,not_run,not_completed,not_saturated,No comprehensive current-product claim; counts reflect live calibration rows and explicitly labeled provisional staging only.,"Panels not enumerated to end; Stanford parsing incomplete; no independent holdout or recall estimate; no cold challenge; no two consecutive low-yield rounds; long-tail, regional, embedded, marketplace, and lineage candidates remain open; high-salience unresolveds remain.","Finish queued and incompletely enumerated panels, resolve high-salience leads, run the blinded holdout and cold challenge, complete two clean low-yield rounds, then code product design.",14,14,14,14,0,0,0,14,14,complete_for_current_inventory,18,12,14,1,0,3,0
working_initial_release,23-1011.00,Lawyers,CAN-23-1011-02,Develop and advocate cases in disputes and legal proceedings,US first wave; separately documented foreign calibration rows may exist,English,active_search,3,3,14,0,6,6,broad_product_directory|broad_structured_directory|incumbent_provider_archive|industry_ecosystem|industry_landscape|official_exact_product_verification,0,0,not_run,not_completed,not_saturated,No comprehensive current-product claim; counts reflect live calibration rows and explicitly labeled provisional staging only.,"Panels not enumerated to end; Stanford parsing incomplete; no independent holdout or recall estimate; no cold challenge; no two consecutive low-yield rounds; long-tail, regional, embedded, marketplace, and lineage candidates remain open; high-salience unresolveds remain.","Finish queued and incompletely enumerated panels, resolve high-salience leads, run the blinded holdout and cold challenge, complete two clean low-yield rounds, then code product design.",14,14,14,14,0,0,0,14,14,complete_for_current_inventory,14,8,14,0,0,0,0
working_initial_release,23-1011.00,Lawyers,CAN-23-1011-03,Develop legislation and enforcement frameworks,US first wave; separately documented foreign calibration rows may exist,English,active_search,2,2,6,0,6,6,broad_product_directory|broad_structured_directory|incumbent_provider_archive|industry_ecosystem|industry_landscape|official_exact_product_verification,0,0,not_run,not_completed,not_saturated,No comprehensive current-product claim; counts reflect live calibration rows and explicitly labeled provisional staging only.,"Panels not enumerated to end; Stanford parsing incomplete; no independent holdout or recall estimate; no cold challenge; no two consecutive low-yield rounds; long-tail, regional, embedded, marketplace, and lineage candidates remain open; high-salience unresolveds remain.","Finish queued and incompletely enumerated panels, resolve high-salience leads, run the blinded holdout and cold challenge, complete two clean low-yield rounds, then code product design.",6,6,7,6,1,0,1,5,6,complete_for_current_inventory,6,8,6,0,0,0,0
working_initial_release,23-1011.00,Lawyers,CAN-23-1011-04,"Structure and administer legal transactions, instruments, estates, and fiduciary matters",US first wave; separately documented foreign calibration rows may exist,English,active_search,6,6,25,0,6,6,broad_product_directory|broad_structured_directory|incumbent_provider_archive|industry_ecosystem|industry_landscape|official_exact_product_verification,0,0,not_run,not_completed,not_saturated,No comprehensive current-product claim; counts reflect live calibration rows and explicitly labeled provisional staging only.,"Panels not enumerated to end; Stanford parsing incomplete; no independent holdout or recall estimate; no cold challenge; no two consecutive low-yield rounds; long-tail, regional, embedded, marketplace, and lineage candidates remain open; high-salience unresolveds remain.","Finish queued and incompletely enumerated panels, resolve high-salience leads, run the blinded holdout and cold challenge, complete two clean low-yield rounds, then code product design.",25,25,25,25,0,0,0,25,25,complete_for_current_inventory,25,12,25,0,0,0,0
working_initial_release,25-2021.00,"Elementary School Teachers, Except Special Education",CAN-25-2021-01,Teach and support elementary students,US first wave; separately documented foreign calibration rows may exist,English,active_search,3,3,23,0,6,6,frozen_public_web_matrix|marketplace_procurement|official_deployment_customer|professional_association_conference|snowball_incumbent_archive|structured_product_directory,1,1,not_run,not_completed,not_saturated,No comprehensive current-product claim; counts reflect live calibration rows and explicitly labeled provisional staging only.,"Panels not enumerated to end; no independent holdout or recall estimate; no cold challenge; no two consecutive low-yield rounds; long-tail, regional, embedded, and product-lineage candidates remain open; high-salience unresolveds remain.","Resolve high-salience leads, enumerate mandatory panels, run a blinded holdout and cold challenge, complete two clean low-yield rounds, then code product design.",23,23,23,23,0,0,0,23,23,complete_for_current_inventory,26,9,23,1,1,1,0
working_initial_release,27-1024.00,Graphic Designers,CAN-27-1024-01,Deliver visual communication designs and production-ready content,US first wave; separately documented foreign calibration rows may exist,English,active_search,4,4,19,0,7,5,application_marketplace|broad_product_source|official_exact_product_verification|software_review_directory|web_query_matrix,0,0,not_run,not_completed,not_saturated,No comprehensive current-product claim; counts reflect live calibration rows and explicitly labeled provisional staging only.,"Panels not enumerated to end; Stanford parsing incomplete; no independent holdout or recall estimate; no cold challenge; no two consecutive low-yield rounds; long-tail, regional, embedded, marketplace, and lineage candidates remain open; high-salience unresolveds remain.","Finish queued and incompletely enumerated panels, resolve high-salience leads, run the blinded holdout and cold challenge, complete two clean low-yield rounds, then code product design.",19,17,19,19,0,0,0,19,19,complete_for_current_inventory,22,11,19,1,2,0,0
working_initial_release,29-1141.00,Registered Nurses,CAN-29-1141-01,Provide and sustain nursing care and health improvement,US first wave; separately documented foreign calibration rows may exist,English,active_search,5,5,12,0,5,5,independent_deployment;professional_association_web;provider_marketplace;public_web_query_matrix;structured_regulatory,3,,not_run,not_completed,not_saturated,No comprehensive current-product claim; counts reflect live calibration rows and explicitly labeled provisional staging only.,Directories and marketplaces are not fully enumerated; English and U.S. availability only; high-salience classification and independent stopping tests remain incomplete.,"Classify and resolve high-salience leads, enumerate remaining panels, run a blinded holdout and cold challenge, complete two low-yield rounds, then begin product-design coding.",12,12,12,12,0,0,0,12,12,complete_for_current_inventory,15,11,12,0,0,3,0
working_initial_release,29-2042.00,Emergency Medical Technicians,CAN-29-2042-01,Provide end-to-end prehospital emergency response,US first wave; separately documented foreign calibration rows may exist,English,active_search,6,6,16,0,7,7,competitor_and_integration_snowball;independent_deployment;professional_association_web;provider_marketplace;public_web_query_matrix;structured_registry;structured_regulatory,3,2,not_run,not_completed,not_saturated,No comprehensive current-product claim; counts reflect live calibration rows and explicitly labeled provisional staging only.,Directories and marketplaces are not fully enumerated; English and U.S. availability only; embedded and regional products may be missed; no independent holdout or low-yield stopping test.,"Resolve high-salience candidates, enumerate remaining panels, run a blinded holdout and cold challenge, complete two low-yield rounds, then begin product-design coding.",16,16,16,16,0,0,0,16,16,complete_for_current_inventory,21,20,16,2,0,3,0
working_initial_release,31-1121.00,Home Health Aides,CAN-31-1121-01,Provide coordinated in-home health and daily-living support,US first wave; separately documented foreign calibration rows may exist,English,active_search,12,10,18,0,6,6,competitor_and_integration_snowball;government_and_public_health;independent_deployment;professional_association_web;provider_marketplace;public_web_query_matrix,6,3,not_run,not_completed,not_saturated,No comprehensive current-product claim; counts reflect live calibration rows and explicitly labeled provisional staging only.,Directories and marketplaces are not fully enumerated; English and U.S. availability only; embedded and regional products may be missed; no independent holdout or low-yield stopping test.,"Resolve high-salience candidates, enumerate remaining panels, run a blinded holdout and cold challenge, complete two low-yield rounds, then begin product-design coding.",18,18,18,17,1,0,1,17,18,complete_for_current_inventory,26,16,18,2,0,6,0
working_initial_release,33-3051.00,Police and Sheriff's Patrol Officers,CAN-33-3051-01,"Provide public safety, law enforcement, and justice-process services",US first wave; separately documented foreign calibration rows may exist,English,active_search,4,4,12,0,9,9,application_marketplace|broad_product_source|cloud_marketplace|incumbent_provider_archive|industry_ecosystem|official_exact_product_verification|public_sector_procurement_and_deployment|research_and_evaluation_registry|web_query_matrix,1,1,not_run,not_run,not_saturated,No comprehensive current-product claim; counts reflect live calibration rows and explicitly labeled provisional staging only.,"Panels not enumerated to end; no independent holdout or recall estimate; no cold challenge; no two consecutive low-yield rounds; long-tail, regional, embedded, marketplace, reseller, and product-lineage candidates remain open; high-salience unresolveds remain.","Enumerate planned panels to their accessible end, resolve high-salience leads, run independent holdout and cold challenge, complete two low-yield rounds, then code product design.",12,9,12,12,0,0,0,12,12,complete_for_current_inventory,15,16,12,2,0,1,0
working_initial_release,35-2014.00,"Cooks, Restaurant",CAN-35-2014-01,"Plan, prepare, cook, and release restaurant food",US first wave; separately documented foreign calibration rows may exist,English,active_search,6,6,6,0,9,9,application_marketplace|broad_product_source|cloud_marketplace|incumbent_provider_archive|industry_awards|industry_ecosystem|official_exact_product_verification|public_deployment_panel|web_query_matrix,0,0,not_run,not_run,not_saturated,No comprehensive current-product claim; counts reflect live calibration rows and explicitly labeled provisional staging only.,"Panels not enumerated to end; no independent holdout or recall estimate; no cold challenge; no two consecutive low-yield rounds; long-tail, regional, embedded, marketplace, reseller, and product-lineage candidates remain open; high-salience unresolveds remain.","Enumerate planned panels to their accessible end, resolve high-salience leads, run independent holdout and cold challenge, complete two low-yield rounds, then code product design.",6,5,6,6,0,0,0,6,6,complete_for_current_inventory,6,16,6,0,0,0,0
working_initial_release,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",CAN-37-2011-01,"Keep buildings and grounds clean, orderly, safe, and functional",US first wave; separately documented foreign calibration rows may exist,English,active_search,15,15,17,0,8,8,application_marketplace|broad_product_source|cloud_marketplace|incumbent_provider_archive|industry_awards|industry_ecosystem|official_exact_product_verification|web_query_matrix,4,4,not_run,not_run,not_saturated,No comprehensive current-product claim; counts reflect live calibration rows and explicitly labeled provisional staging only.,"Panels not enumerated to end; no independent holdout or recall estimate; no cold challenge; no two consecutive low-yield rounds; long-tail, regional, embedded, marketplace, reseller, and product-lineage candidates remain open; high-salience unresolveds remain.","Enumerate planned panels to their accessible end, resolve high-salience leads, run independent holdout and cold challenge, complete two low-yield rounds, then code product design.",17,11,17,17,0,0,0,17,17,complete_for_current_inventory,22,17,17,1,0,4,0
