company_id,company_name,company_name_aliases,parent_company_id,company_description,company_website_url,company_founded_date,company_founded_date_precision,headquarters_country_code,headquarters_subdivision_code,company_status,company_status_date_assessed,company_source_url,company_source_access_date,catalog_status,catalog_source_count,catalog_source_files
aleph,Aleph,,,"Provider or maintainer of Aleph, included in the accounting-product discovery census.",https://www.getaleph.com/platform/ai,,unknown,,,active,2026-08-20,https://www.getaleph.com/platform/ai,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
anaplan,Anaplan,,,"Provider or maintainer of Anaplan Integrated Financial Planning, included in the accounting-product discovery census.",https://www.anaplan.com/applications/integrated-financial-planning-app/,,unknown,,,active,2026-08-20,https://www.anaplan.com/applications/integrated-financial-planning-app/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
anrok,Anrok,,,"Provider or maintainer of Anrok, included in the accounting-product discovery census.",https://www.anrok.com/,,unknown,,,active,2026-08-20,https://www.anrok.com/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
anygraph,Anygraph,,,"Provider or maintainer of Anygraph, included in the accounting-product discovery census.",https://anygraph.ai/,,unknown,,,active,2026-08-20,https://anygraph.ai/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
aperio_finance,Aperio Finance,,,"Provider or maintainer of Aperio FP&A, included in the accounting-product discovery census.",https://www.aperio.finance/,,unknown,,,active,2026-08-20,https://www.aperio.finance/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
april,April,,,"Provider or maintainer of April Tax Filing, included in the accounting-product discovery census.",https://www.getapril.com/tax-filing,,unknown,,,active,2026-08-20,https://www.getapril.com/tax-filing,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
assuregrid,AssureGrid,,,"Provider or maintainer of AssureGrid, included in the accounting-product discovery census.",https://assuregrid.ai/,,unknown,,,active,2026-08-20,https://assuregrid.ai/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
auditfile,AuditFile,,,"Provider or maintainer of AuditFile, included in the accounting-product discovery census.",https://auditfile.com/,,unknown,,,active,2026-08-20,https://auditfile.com/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
auditpro_ai,AuditPro.ai,,,"Provider or maintainer of AuditPro.ai, included in the accounting-product discovery census.",https://auditpro.ai/,,unknown,,,active,2026-08-20,https://auditpro.ai/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
autoentry,AutoEntry,,,"Provider or maintainer of AutoEntry, included in the accounting-product discovery census.",https://www.autoentry.com/,,unknown,,,active,2026-08-20,https://www.autoentry.com/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
avidxchange,AvidXchange,,,"Provider or maintainer of AvidInvoice, included in the accounting-product discovery census.",https://www.avidxchange.com/products/avidinvoice/,,unknown,,,active,2026-08-20,https://www.avidxchange.com/products/avidinvoice/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
basis,Basis,,,"Provider or maintainer of Basis, included in the accounting-product discovery census.",https://www.getbasis.ai/,,unknown,,,active,2026-08-20,https://www.getbasis.ai/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
beyondai,BeyondAI,Beyond Limits; Altec,,"Provider or maintainer of DocLink, included in the accounting-product discovery census.",https://www.beyond.ai/enterprise-ai/doclink,,unknown,,,active,2026-08-20,https://www.beyond.ai/enterprise-ai/doclink,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/saturation_v0_4/company_general_info_delta_v0_4.csv
bill,BILL,,,"Provider or maintainer of BILL Accounts Payable, included in the accounting-product discovery census.",https://www.bill.com/product/ai,,unknown,,,active,2026-08-20,https://www.bill.com/product/ai,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
billbjorn,BillBjorn,,,"Provider or maintainer of BillBjorn, included in the accounting-product discovery census.",https://apps.xero.com/us/app/billbjorn,,unknown,,,active,2026-08-20,https://apps.xero.com/us/app/billbjorn,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
bizora,Bizora,,,"Provider or maintainer of Bizora, included in the accounting-product discovery census.",https://www.bizora.ai/ai-tax-research-software-for-solo-cpas-small-firms,,unknown,,,active,2026-08-20,https://www.bizora.ai/ai-tax-research-software-for-solo-cpas-small-firms,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
black_ore,Black Ore,,,"Provider or maintainer of Tax Autopilot, included in the accounting-product discovery census.",https://blackore.ai/,,unknown,,,active,2026-08-20,https://blackore.ai/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
bloomberg_industry_group,Bloomberg Industry Group,,,"Provider or maintainer of Bloomberg Tax with AI Assistant, included in the accounting-product discovery census.",https://pro.bloombergtax.com/products/ai-and-bloomberg-tax/,,unknown,,,active,2026-08-20,https://pro.bloombergtax.com/products/ai-and-bloomberg-tax/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
blue_j,Blue J,,,"Provider or maintainer of Blue J, included in the accounting-product discovery census.",https://www.bluej.com/,,unknown,,,active,2026-08-20,https://www.bluej.com/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
board_international,Board International,,,"Provider or maintainer of Board FP&A Agent, included in the accounting-product discovery census.",https://www.board.com/ai/fpa-agent,,unknown,,,active,2026-08-20,https://www.board.com/ai/fpa-agent,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
bond_treasury,Bond Treasury,,,"Provider or maintainer of Bond Treasury, included in the accounting-product discovery census.",https://www.bondtreasury.com/agents/forecasting,,unknown,,,active,2026-08-20,https://www.bondtreasury.com/agents/forecasting,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
booke_ai,Booke AI,,,"Provider or maintainer of Booke AI, included in the accounting-product discovery census.",https://booke.ai/en-us,,unknown,,,active,2026-08-20,https://booke.ai/en-us,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
botkeeper,Botkeeper,,,"Provider or maintainer of Botkeeper, included in the accounting-product discovery census.",https://www.botkeeper.com/,,unknown,,,active,2026-08-20,https://www.botkeeper.com/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
brex,Brex,,,"Provider or maintainer of Brex Expense Management, included in the accounting-product discovery census.",https://www.brex.com/product/expense-management,,unknown,,,active,2026-08-20,https://www.brex.com/product/expense-management,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
campfire,Campfire,,,"Provider or maintainer of Campfire AI-native ERP, included in the accounting-product discovery census.",https://campfire.ai/,,unknown,,,active,2026-08-20,https://campfire.ai/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
centage,Centage,,,"Provider or maintainer of Centage, included in the accounting-product discovery census.",https://www.centage.com/about-us/previously-planning-maestro,,unknown,,,active,2026-08-20,https://www.centage.com/about-us/previously-planning-maestro,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
cherry,Cherry,,,"Provider or maintainer of Cherry, included in the accounting-product discovery census.",https://trycherry.ai/,,unknown,,,active,2026-08-20,https://trycherry.ai/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
circit,Circit,,,"Provider or maintainer of Circit Engage, included in the accounting-product discovery census.",https://circit.io/platform/engage,,unknown,,,active,2026-08-20,https://circit.io/platform/engage,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
clarity_hq,Clarity HQ,,,"Provider or maintainer of Clarity, included in the accounting-product discovery census.",https://clarity-hq.com/clarity-updates/ai-advisory-assistant-for-accounting-firms-introducing-hartley/,,unknown,,,active,2026-08-20,https://clarity-hq.com/clarity-updates/ai-advisory-assistant-for-accounting-firms-introducing-hartley/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/saturation_v0_4/company_general_info_delta_v0_4.csv
clearbox_fpa,ClearBox FPA,,,"Provider or maintainer of ClearBox FPA, included in the accounting-product discovery census.",https://clearboxfpa.com/,,unknown,,,active,2026-08-20,https://clearboxfpa.com/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
clockwork,Clockwork,,,"Provider or maintainer of Clockwork, included in the accounting-product discovery census.",https://www.clockwork.ai/,,unknown,,,active,2026-08-20,https://www.clockwork.ai/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
compleat_software,Compleat Software,,,"Provider or maintainer of Compleat, included in the accounting-product discovery census.",https://www.compleatsoftware.com/,,unknown,,,active,2026-08-20,https://www.compleatsoftware.com/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/saturation_v0_4/company_general_info_delta_v0_4.csv
concourse,Concourse,,,"Provider or maintainer of Concourse, included in the accounting-product discovery census.",https://www.concourse.ai/teams/fpa,,unknown,,,active,2026-08-20,https://www.concourse.ai/teams/fpa,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
countable,Countable,,,"Provider or maintainer of Countable, included in the accounting-product discovery census.",https://countable.co/platform,,unknown,,,active,2026-08-20,https://countable.co/platform,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/saturation_v0_4/company_general_info_delta_v0_4.csv
cratis_ai,Cratis AI,,,"Provider or maintainer of Cratis, included in the accounting-product discovery census.",https://cratis.ai/,,unknown,,,active,2026-08-20,https://cratis.ai/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
cube_software,Cube,,,"Provider or maintainer of Cube, included in the accounting-product discovery census.",https://www.cubesoftware.com/,,unknown,,,active,2026-08-20,https://www.cubesoftware.com/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
datarails,Datarails,,,"Provider or maintainer of Datarails AI Agents, included in the accounting-product discovery census.",https://www.datarails.com/lp-ai-agents/,,unknown,,,active,2026-08-20,https://www.datarails.com/lp-ai-agents/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
deepledger,DeepLedger,,,"Provider or maintainer of DeepLedger, included in the accounting-product discovery census.",https://deepledger.ai/product,,unknown,,,active,2026-08-20,https://deepledger.ai/product,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
dext,Dext,,,"Provider or maintainer of Dext AI Assist, included in the accounting-product discovery census.",https://dext.com/us/partner/product/dext-ai-assist-bookkeeping-agent,,unknown,,,active,2026-08-20,https://dext.com/us/partner/product/dext-ai-assist-bookkeeping-agent,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
dezu,Dezu,,,"Provider or maintainer of Dezu, included in the accounting-product discovery census.",https://www.dezu.ai/,,unknown,,,active,2026-08-20,https://www.dezu.ai/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
digits,Digits,,,"Provider or maintainer of Digits, included in the accounting-product discovery census.",https://digits.com/,,unknown,,,active,2026-08-20,https://digits.com/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
diligent,Diligent,,,"Provider or maintainer of Diligent Audit, included in the accounting-product discovery census.",https://www.diligent.com/products/internal-audit,,unknown,,,active,2026-08-20,https://www.diligent.com/products/internal-audit,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
docyt,Docyt,,,"Provider or maintainer of Docyt, included in the accounting-product discovery census.",https://www.docyt.com/,,unknown,,,active,2026-08-20,https://www.docyt.com/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
dokka,DOKKA,,,"Provider or maintainer of DOKKA, included in the accounting-product discovery census.",https://apps.xero.com/us/app/dokka,,unknown,,,active,2026-08-20,https://apps.xero.com/us/app/dokka,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
drivetrain,Drivetrain,,,"Provider or maintainer of Drivetrain, included in the accounting-product discovery census.",https://www.drivetrain.ai/,,unknown,,,active,2026-08-20,https://www.drivetrain.ai/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
dynac,Dynac,,,"Provider or maintainer of Dynac, included in the accounting-product discovery census.",https://us-marketplace.sage.com/en-US/apps/125092/dynac,,unknown,,,active,2026-08-20,https://us-marketplace.sage.com/en-US/apps/125092/dynac,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/saturation_v0_4/company_general_info_delta_v0_4.csv
emburse,Emburse,,,"Provider or maintainer of Emburse Professional, included in the accounting-product discovery census.",https://www.emburse.com/products/professional/expense,,unknown,,,active,2026-08-20,https://www.emburse.com/products/professional/expense,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/saturation_v0_4/company_general_info_delta_v0_4.csv
farseer,Farseer,,,"Provider or maintainer of Farseer, included in the accounting-product discovery census.",https://www.farseer.com/,,unknown,,,active,2026-08-20,https://www.farseer.com/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
fieldguide,Fieldguide,,,"Provider or maintainer of Fieldguide, included in the accounting-product discovery census.",https://www.fieldguide.io/,,unknown,,,active,2026-08-20,https://www.fieldguide.io/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
fileai,fileAI,,,"Provider or maintainer of fileAI, included in the accounting-product discovery census.",https://apps.xero.com/us/app/fileai,,unknown,,,active,2026-08-20,https://apps.xero.com/us/app/fileai,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
filed,Filed,,,"Provider or maintainer of Filed, included in the accounting-product discovery census.",https://www.filed.com/taxprep,,unknown,,,active,2026-08-20,https://www.filed.com/taxprep,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
finnex_ai_assistant,FINNEX AI Assistant,,,"Provider or maintainer of FINNEX AI Assistant, included in the accounting-product discovery census.",https://apps.xero.com/us/app/finnex-ai-assistant,,unknown,,,active,2026-08-20,https://apps.xero.com/us/app/finnex-ai-assistant,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
finofo,Finofo,,,"Provider or maintainer of Finofo Accounts Payable, included in the accounting-product discovery census.",https://www.finofo.com/platform/accounts-payable,,unknown,,,active,2026-08-20,https://www.finofo.com/platform/accounts-payable,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
finpact,Finpact,,,"Provider or maintainer of Finpact, included in the accounting-product discovery census.",https://finpact.ai/,,unknown,,,active,2026-08-20,https://finpact.ai/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
firmbase,Firmbase,,,"Provider or maintainer of Firmbase, included in the accounting-product discovery census.",https://www.firmbase.ai/,,unknown,,,active,2026-08-20,https://www.firmbase.ai/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
foresight,Foresight,,,"Provider or maintainer of Foresight, included in the accounting-product discovery census.",https://foresightfpa.com/,,unknown,,,active,2026-08-20,https://foresightfpa.com/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
fulfil,Fulfil,,,"Provider or maintainer of Fulfil Accounts Payable, included in the accounting-product discovery census.",https://www.fulfil.io/products/accounts-payable/,,unknown,,,active,2026-08-20,https://www.fulfil.io/products/accounts-payable/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
gappify,Gappify,,,"Provider or maintainer of Accrual Cloud, included in the accounting-product discovery census.",https://www.gappify.com/,,unknown,,,active,2026-08-20,https://www.gappify.com/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
gisty,Gisty,,,"Provider or maintainer of Gisty AI Accountant, included in the accounting-product discovery census.",https://www.gisty.com/,,unknown,,,active,2026-08-20,https://www.gisty.com/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
h_r_block,H&R Block,,,"Provider or maintainer of AI Tax Assist, included in the accounting-product discovery census.",https://www.hrblock.com/tax-center/filing/ai-tax-assist/,,unknown,,,active,2026-08-20,https://www.hrblock.com/tax-center/filing/ai-tax-assist/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
highradius,HighRadius,,,"Provider or maintainer of HighRadius Record to Report, included in the accounting-product discovery census.",https://www.highradius.com/product/record-to-report-software/,,unknown,,,active,2026-08-20,https://www.highradius.com/product/record-to-report-software/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
hive_ta_technologies,HIVE TA Technologies,,,"Provider or maintainer of HIVE Tax AI, included in the accounting-product discovery census.",https://hivetax.ai/,,unknown,,,active,2026-08-20,https://hivetax.ai/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
hypatos,Hypatos,,,"Provider or maintainer of Hypatos Accounts Payable Agents, included in the accounting-product discovery census.",https://www.hypatos.ai/solutions/process/accounts-payable,,unknown,,,active,2026-08-20,https://www.hypatos.ai/solutions/process/accounts-payable,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
instead,Instead,,,"Provider or maintainer of Entity Agent, included in the accounting-product discovery census.",https://www.instead.com/products/entity-agent,,unknown,,,active,2026-08-20,https://www.instead.com/products/entity-agent,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
integrabalance_ai,IntegraBalance.AI,,,"Provider or maintainer of IntegraBalance.AI, included in the accounting-product discovery census.",https://apps.xero.com/us/app/integrabalanceai,,unknown,,,active,2026-08-20,https://apps.xero.com/us/app/integrabalanceai,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
jedox,Jedox,,,"Provider or maintainer of Jedox, included in the accounting-product discovery census.",https://www.jedox.com/en/,,unknown,,,active,2026-08-20,https://www.jedox.com/en/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
jirav,Jirav,,,"Provider or maintainer of Jirav, included in the accounting-product discovery census.",https://www.jirav.com/accounting-planning-budgeting-forecasting,,unknown,,,active,2026-08-20,https://www.jirav.com/accounting-planning-budgeting-forecasting,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
keeper,Keeper,,,"Provider or maintainer of Keeper Tax, included in the accounting-product discovery census.",https://www.keepertax.com/,,unknown,,,active,2026-08-20,https://www.keepertax.com/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
kick,Kick,,,"Provider or maintainer of Kick, included in the accounting-product discovery census.",https://www.kick.co/,,unknown,,,active,2026-08-20,https://www.kick.co/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
kintsugi,Kintsugi,,,"Provider or maintainer of Kintsugi, included in the accounting-product discovery census.",https://www.trykintsugi.com/,,unknown,,,active,2026-08-20,https://www.trykintsugi.com/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
knottheory,KnotTheory,,,"Provider or maintainer of Tesseract, included in the accounting-product discovery census.",https://knottheory.ai/,,unknown,,,active,2026-08-20,https://knottheory.ai/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
kyriba,Kyriba,,,"Provider or maintainer of Kyriba Liquidity Planning, included in the accounting-product discovery census.",https://www.kyriba.com/resources/fact-sheets/kyriba-liquidity-planning/,,unknown,,,active,2026-08-20,https://www.kyriba.com/resources/fact-sheets/kyriba-liquidity-planning/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
ledge,Ledge,,,"Provider or maintainer of Ledge Agentic Close Management, included in the accounting-product discovery census.",https://www.ledge.co/,,unknown,,,active,2026-08-20,https://www.ledge.co/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
ledgerler,Ledgerler,,,"Provider or maintainer of Ledgerler, included in the accounting-product discovery census.",https://ledgerler.com/,,unknown,,,active,2026-08-20,https://ledgerler.com/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
limelight,Limelight,,,"Provider or maintainer of Limelight FP&A, included in the accounting-product discovery census.",https://www.golimelight.com/ai,,unknown,,,active,2026-08-20,https://www.golimelight.com/ai,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/saturation_v0_4/company_general_info_delta_v0_4.csv
liveflow,LiveFlow,,,"Provider or maintainer of Flow, included in the accounting-product discovery census.",https://liveflow.com/,,unknown,,,active,2026-08-20,https://liveflow.com/,2026-08-20,verified_lower_bound_not_saturated,1,research_staging/accounting_product_census/import_staging_v0_3/company_general_info_staging_v0_3.csv
